Price,Ticker,embed_1,embed_2,embed_3,embed_4,embed_5,embed_6,embed_7,embed_8,embed_9,embed_10,embed_11,embed_12,embed_13,embed_14,embed_15,embed_16,embed_17,embed_18,embed_19,embed_20,embed_21,embed_22,embed_23,embed_24,embed_25,embed_26,embed_27,embed_28,embed_29,embed_30,embed_31,embed_32,embed_33,embed_34,embed_35,embed_36
ADANIPORTS.NS,ADANIPORTS.NS,-0.01304646714666956,0.010191393958059226,-0.02182685478167196,-0.017571684339417994,0.017368541993678675,0.020750475894711445,0.02455186035845345,-0.008344293333863578,0.014326407203840655,0.014462297746390886,0.05384407689569519,-0.03600328472460227,-0.01713224609707764,0.05855061238770707,-0.05339489433680646,0.0032715456357486792,0.012324345641604494,0.00036774576572502505,0.03831973627736969,-0.046073248846808114,0.00929113251849325,-0.028988790494741005,0.06751661186722656,0.026741814339098217,-0.010330552042707171,0.003393456712539989,0.019840401000624872,-0.04693319696850404,-0.02303013122390472,0.018347693603884427,-0.023240257215728866,0.00985579437350747,0.009890855025591117,-0.024073800042767986,-0.045569395412583626,0.0500847772429293
ASIANPAINT.NS,ASIANPAINT.NS,0.004068902321998407,-0.054397603253281336,-0.006221756743631686,-0.007226239758918592,0.02900498374248512,-0.0032977831444040095,-0.01583801741681937,0.005017591574680026,0.014429507098020667,-0.00017460169855717985,0.016561993839503204,-0.03722545090624693,0.0034577023428326204,-0.002607860109184711,-0.07120574646569894,0.009359330476545902,-0.05919042125850749,0.03656112944496435,0.010713056840119355,-0.00913983979862097,-0.04112134191619714,-0.022618046358113535,-0.046299873354318254,0.015420355516189534,-0.030352816091810397,-0.01079775033481744,-0.02976932980103306,-0.008575615634651139,-0.02254920162631994,-0.013680316400279599,0.020831678549589158,-0.05829627145525782,-0.02634798373223118,0.05253686589156998,-0.013200783154841089,-0.026220200675010606
AXISBANK.NS,AXISBANK.NS,-0.016352641732962758,-0.007278491555189313,-0.03104842044220373,-0.029914406702330195,-0.03477868593297145,-0.021643868351573527,0.01127992847246996,-0.02831953774074221,0.0036605835427988877,-0.011067619660281558,-0.03171954590312137,-0.008604072628722306,0.0008397810468181608,0.05445803125188257,0.007471754073740753,0.014791749618191937,-0.05595535801917241,-0.03343961907781681,0.0011304560903788508,-0.020658501318035427,0.0035781838672834473,0.0206880225666463,-0.05459300806010119,-0.01279876699132884,-0.02135320334571104,-0.016614394933490567,0.05598107736658364,3.897060911587536e-05,0.032530016501723824,0.007835731152503985,-0.018651991042462554,-0.024749444615389363,-0.010828057141766281,0.0034812890281319168,0.05620876426817204,0.054517857623423205
BAJAJ-AUTO.NS,BAJAJ-AUTO.NS,-0.004710521894098485,-0.01060517185400048,0.05551166933326331,0.0106836568487055,-0.026833127795611516,0.012949499311494764,0.011998983407628953,-0.019104582966242244,-0.03270666780749147,-0.02446012176457093,0.013986435255975151,0.04954599432309951,0.04057812958969178,-0.032747401334387,0.0032789847762937528,0.027174239741799545,-0.021256263139714935,0.016560315854405632,0.00601507495477243,-0.03096175792072792,-0.0018628525069407475,-0.05180174819550287,-0.009004561758026509,0.04337727318813375,-0.005595313883160438,-0.08638304603113359,0.013351263866173161,0.015012918648745774,0.007285272804439432,0.04371057000987572,-0.010864426937572594,0.054790376086431156,0.007331422641376438,0.001469627299017375,-0.0034020781054543425,0.019138171605408885
BAJFINANCE.NS,BAJFINANCE.NS,-0.014388352607180145,-0.044683954418997675,-0.021790141200637284,0.0013077648018777772,0.0016194677563546437,-0.006191727036032634,-0.03924243791261533,0.025148709738660045,0.029378221827852956,-0.009441929563246888,-0.021597728967959612,0.006814957091706621,0.03049388933808761,-0.010924987543796612,0.04893714612331185,0.02762889182215669,0.008668937845164959,0.009192841456281716,-0.034198880616354475,0.039956250239570654,0.01993891728869565,-0.027912881419972526,0.027242359340736582,0.05532871483798656,0.0353852083648059,0.007851581093218468,0.007458025961458416,-0.02937766576004999,-0.008637115509173253,-0.011360086162668002,-0.010151305525683746,-0.036996863904960264,0.008867125597743709,0.03176054348251629,0.005566705612738754,0.06522032289498042
BHARTIARTL.NS,BHARTIARTL.NS,-0.004254382928769992,0.012539005346086703,-0.000930736875715972,-0.01711428275563081,-0.009242192427935331,-0.04156562873881863,0.041945803682672055,0.0111454305088759,-0.049415405768041654,-0.041088295273941665,0.05569644035056838,-0.035079578049212454,0.08090049368866772,-0.004106831817991647,0.05555496571703224,-0.022430943087218706,0.031741007414509775,-0.01913853688675991,-0.0039334991181281835,-0.027494305872099747,0.0095312933113477,0.015474358548528872,0.02339018340768682,-0.026452204514400328,-0.023458501551289937,0.012808421213736348,-0.026008192111348662,-0.03368563173275967,-0.019787384347267727,-0.00914713461546493,0.023886357406333936,-0.013597878098767814,-0.01851439623364034,0.050596883620992385,0.021883527980818763,0.008714469448965157
BPCL.NS,BPCL.NS,-0.0321142066687506,-0.0029407574610369604,0.007424177201467739,0.066017122093175,0.04042409849039195,-0.03513280477519532,0.01743637203440716,-0.038786309195943794,0.030170675617973746,-0.031926133036369236,-0.026287414602335954,-0.03306861653027708,-0.0031845762910609242,-0.02466380543039186,0.014077312592739394,-0.011701586069657295,0.01899829030791636,-0.031507581756354236,0.019823413657276915,-0.005269751631899197,-0.003922504689423404,-0.0007447718654075776,0.009406510138792134,0.017729630898933004,0.019496139598529767,-0.00975394208074874,-0.0011378806893602978,0.008877436984898747,0.003890367476838447,0.030221151644457073,0.01758205378759492,-0.001767217707089802,-0.0017209527306284922,-0.038876064784893014,0.007632126762062456,-0.002564796297056359
BRITANNIA.NS,BRITANNIA.NS,0.009006086918239849,-0.054070642842045435,0.03907195232642998,0.01008168490720956,0.039153791834510426,-0.01251821346557201,0.006757468391884278,0.01853918985361127,-0.0011371393900901665,0.027591763913796315,-0.009516881321329692,0.00960371328396567,-0.0022306906636044644,0.06693510667701393,-0.006778060646381197,-0.023996248507571427,0.04124827277648757,-0.008187267363530018,0.015174140162751322,0.04173929972825291,-0.013325539756697024,0.04840520440516924,-0.010559343115411906,-0.006186496438255318,-0.0037843113872383133,-0.008211001405963774,-0.03682952282651747,-0.011790001205468977,0.06161231616167624,0.024688008878719345,-0.01731156026337892,0.029273965555231513,-0.024931662771021504,-0.025385698817353804,-0.00462996140509073,0.027161740354406425
CIPLA.NS,CIPLA.NS,0.030465104445196418,0.0189265243915758,0.05583269291472428,-0.0391563526556086,-0.004442003889960473,0.0058690407623808345,-0.02119905989737892,-0.006765933278838805,0.011365265158600606,-0.005419831595546955,0.025158745725681532,-0.018983394315024892,-0.0443502789072064,0.04697147924824976,0.0483570977914532,-0.01571525251908959,-0.015690872777315904,0.04301408765969216,-0.005963274133735388,-0.030944677231531225,0.01357679239663531,-0.004154418484678448,0.010707291977762625,-0.0035294302816625683,0.06637581767854504,-0.01536940844691669,-0.004146770413558715,-0.006818872809935501,0.04338120649307986,0.010025476630053145,-0.015532032297732581,-0.02723357185210294,-0.03651302032314102,0.0210539242118275,0.021126289901023762,-0.034359651272169
COALINDIA.NS,COALINDIA.NS,-0.0220574159349621,0.04411179960214565,0.0317685896152706,0.017471658224858782,-0.03732844440616548,-0.03502286821820163,0.0019837420913302786,0.03498731427576383,0.025693518984281058,0.02264093598418233,-0.010290155856407862,0.025740678899079578,-0.004245182683916107,0.021743085820811154,0.022871918260126568,0.013808828446897584,-0.04331569376579209,0.020868305621622587,0.05412691517985391,0.03232734114896096,0.020324169433478978,-0.008392521570177117,0.028560443410686857,0.03224000258597382,-0.0396556469192821,0.02908607688006606,0.008131709193911823,0.022134118434740963,0.005255626258500258,-0.05597647429512973,0.057945445920388236,-0.013632074788176598,-0.029220221526834098,-0.02900583464108704,-0.004901470310156004,0.024161404723309028
