Price,Ticker,embed_1,embed_2,embed_3,embed_4,embed_5,embed_6,embed_7,embed_8,embed_9,embed_10,embed_11,embed_12,embed_13,embed_14,embed_15,embed_16,embed_17,embed_18,embed_19,embed_20,embed_21,embed_22,embed_23,embed_24,embed_25,embed_26,embed_27,embed_28,embed_29,embed_30,embed_31,embed_32
ADANIPORTS.NS,ADANIPORTS.NS,-0.013046467146669554,0.010191393958059234,-0.021826854781671966,-0.017571684339417998,0.017368541993678634,0.020750475894711486,0.024551860358453404,-0.008344293333863585,0.01432640720384063,0.014462297746390846,0.053844076895695196,-0.03600328472460227,-0.017132246097077614,0.05855061238770705,-0.05339489433680646,0.0032715456357486753,0.012324345641604484,0.0003677457657250221,0.03831973627736971,-0.04607324884680813,0.009291132518493258,-0.028988790494741026,0.06751661186722656,0.02674181433909822,-0.010330552042707166,0.0033934567125399784,0.019840401000624844,-0.04693319696850406,-0.023030131223904685,0.018347693603884437,-0.02324025721572887,0.009855794373507481
ASIANPAINT.NS,ASIANPAINT.NS,0.004068902321998407,-0.054397603253281315,-0.006221756743631694,-0.007226239758918583,0.02900498374248514,-0.003297783144404024,-0.01583801741681938,0.005017591574680011,0.014429507098020678,-0.00017460169855716435,0.016561993839503207,-0.03722545090624694,0.0034577023428326186,-0.0026078601091847147,-0.07120574646569891,0.009359330476545897,-0.059190421258507465,0.036561129444964376,0.010713056840119351,-0.009139839798620946,-0.04112134191619714,-0.02261804635811353,-0.04629987335431823,0.015420355516189544,-0.030352816091810397,-0.010797750334817452,-0.029769329801033056,-0.008575615634651125,-0.02254920162631994,-0.013680316400279583,0.020831678549589165,-0.05829627145525782
AXISBANK.NS,AXISBANK.NS,-0.016352641732962764,-0.00727849155518931,-0.03104842044220373,-0.029914406702330167,-0.034778685932971454,-0.02164386835157353,0.011279928472469938,-0.028319537740742192,0.0036605835427988716,-0.011067619660281537,-0.03171954590312137,-0.008604072628722318,0.0008397810468181627,0.054458031251882574,0.007471754073740734,0.014791749618191945,-0.055955358019172424,-0.03343961907781681,0.00113045609037888,-0.02065850131803543,0.00357818386728346,0.020688022566646317,-0.05459300806010118,-0.01279876699132881,-0.021353203345711044,-0.01661439493349056,0.05598107736658364,3.897060911584167e-05,0.0325300165017238,0.007835731152503987,-0.018651991042462554,-0.02474944461538936
BAJAJ-AUTO.NS,BAJAJ-AUTO.NS,-0.004710521894098475,-0.010605171854000518,0.05551166933326329,0.01068365684870549,-0.026833127795611488,0.012949499311494755,0.01199898340762893,-0.01910458296624223,-0.03270666780749147,-0.024460121764570908,0.013986435255975172,0.04954599432309951,0.04057812958969177,-0.032747401334387,0.0032789847762937766,0.027174239741799566,-0.02125626313971496,0.016560315854405632,0.006015074954772468,-0.030961757920727893,-0.0018628525069407584,-0.05180174819550286,-0.009004561758026518,0.04337727318813374,-0.005595313883160463,-0.08638304603113359,0.013351263866173172,0.015012918648745778,0.007285272804439446,0.04371057000987571,-0.010864426937572627,0.054790376086431135
BAJFINANCE.NS,BAJFINANCE.NS,-0.014388352607180138,-0.044683954418997696,-0.02179014120063729,0.0013077648018777668,0.0016194677563547096,-0.006191727036032644,-0.039242437912615315,0.025148709738660048,0.029378221827852966,-0.009441929563246878,-0.02159772896795962,0.006814957091706619,0.030493889338087585,-0.010924987543796597,0.04893714612331185,0.02762889182215669,0.00866893784516495,0.009192841456281733,-0.03419888061635446,0.03995625023957067,0.019938917288695644,-0.027912881419972557,0.027242359340736603,0.055328714837986584,0.03538520836480588,0.007851581093218474,0.007458025961458417,-0.029377665760049982,-0.008637115509173253,-0.011360086162668,-0.010151305525683742,-0.036996863904960244
BHARTIARTL.NS,BHARTIARTL.NS,-0.004254382928770015,0.012539005346086757,-0.0009307368757159862,-0.017114282755630834,-0.0092421924279353,-0.041565628738818625,0.041945803682672075,0.01114543050887587,-0.049415405768041674,-0.04108829527394166,0.055696440350568366,-0.035079578049212454,0.0809004936886677,-0.004106831817991643,0.05555496571703222,-0.022430943087218706,0.03174100741450978,-0.019138536886759875,-0.003933499118128163,-0.027494305872099695,0.009531293311347678,0.015474358548528872,0.023390183407686824,-0.0264522045144003,-0.02345850155128994,0.012808421213736357,-0.026008192111348652,-0.03368563173275967,-0.019787384347267723,-0.009147134615464928,0.023886357406333922,-0.013597878098767809
BPCL.NS,BPCL.NS,-0.032114206668750596,-0.002940757461036989,0.007424177201467762,0.06601712209317491,0.04042409849039195,-0.03513280477519527,0.01743637203440715,-0.038786309195943815,0.03017067561797372,-0.03192613303636922,-0.02628741460233593,-0.0330686165302771,-0.003184576291060945,-0.024663805430391858,0.014077312592739392,-0.011701586069657328,0.018998290307916353,-0.031507581756354264,0.019823413657276922,-0.005269751631899221,-0.003922504689423402,-0.0007447718654075626,0.009406510138792146,0.017729630898932987,0.019496139598529753,-0.009753942080748744,-0.0011378806893602952,0.008877436984898741,0.003890367476838445,0.030221151644457076,0.017582053787594917,-0.001767217707089808
BRITANNIA.NS,BRITANNIA.NS,0.009006086918239859,-0.054070642842045415,0.039071952326429966,0.010081684907209601,0.039153791834510454,-0.012518213465571977,0.006757468391884285,0.01853918985361129,-0.0011371393900901534,0.027591763913796283,-0.009516881321329678,0.009603713283965675,-0.0022306906636044926,0.06693510667701393,-0.0067780606463811975,-0.023996248507571417,0.04124827277648757,-0.008187267363530018,0.015174140162751348,0.04173929972825291,-0.013325539756697015,0.048405204405169246,-0.010559343115411917,-0.006186496438255306,-0.003784311387238298,-0.008211001405963769,-0.03682952282651747,-0.011790001205468978,0.06161231616167625,0.02468800887871936,-0.017311560263378923,0.029273965555231495
CIPLA.NS,CIPLA.NS,0.030465104445196407,0.01892652439157583,0.05583269291472426,-0.039156352655608614,-0.00444200388996049,0.0058690407623808215,-0.021199059897378875,-0.0067659332788388045,0.011365265158600599,-0.005419831595546926,0.02515874572568151,-0.018983394315024892,-0.04435027890720636,0.04697147924824974,0.048357097791453224,-0.015715252519089604,-0.015690872777315918,0.043014087659692196,-0.005963274133735397,-0.030944677231531232,0.013576792396635312,-0.0041544184846784285,0.010707291977762603,-0.0035294302816625757,0.06637581767854504,-0.015369408446916704,-0.004146770413558744,-0.006818872809935493,0.04338120649307985,0.01002547663005313,-0.015532032297732588,-0.027233571852102945
COALINDIA.NS,COALINDIA.NS,-0.022057415934962157,0.04411179960214569,0.031768589615270584,0.0174716582248588,-0.03732844440616544,-0.03502286821820158,0.001983742091330296,0.034987314275763876,0.025693518984281058,0.022640935984182334,-0.01029015585640786,0.02574067889907957,-0.004245182683916105,0.02174308582081117,0.022871918260126575,0.013808828446897592,-0.04331569376579209,0.02086830562162257,0.054126915179853956,0.03232734114896093,0.020324169433479016,-0.008392521570177126,0.02856044341068686,0.03224000258597384,-0.03965564691928211,0.029086076880066068,0.0081317091939118,0.022134118434740963,0.005255626258500257,-0.055976474295129745,0.057945445920388236,-0.01363207478817659
