Price,Ticker,embed_1,embed_2,embed_3,embed_4,embed_5,embed_6,embed_7,embed_8,embed_9,embed_10,embed_11,embed_12
ADANIPORTS.NS,ADANIPORTS.NS,-0.013046467146668453,0.010191393958062409,-0.02182685478166572,-0.017571684339427192,0.017368541993682304,0.020750475894604395,0.024551860358531123,-0.008344293333891237,0.014326407203852582,0.014462297746381851,0.0538440768957593,-0.036003284724505286
ASIANPAINT.NS,ASIANPAINT.NS,0.004068902321996856,-0.05439760325328132,-0.0062217567436326175,-0.007226239758920222,0.029004983742484277,-0.0032977831443257305,-0.015838017416838473,0.00501759157467852,0.014429507098013584,-0.00017460169857439302,0.016561993839577554,-0.03722545090623077
AXISBANK.NS,AXISBANK.NS,-0.01635264173296248,-0.007278491555186886,-0.031048420442194104,-0.029914406702341564,-0.03477868593296766,-0.021643868351643652,0.011279928472374688,-0.028319537740733845,0.003660583542780151,-0.01106761966028509,-0.03171954590311815,-0.008604072628778313
BAJAJ-AUTO.NS,BAJAJ-AUTO.NS,-0.00471052189409988,-0.01060517185400383,0.055511669333259864,0.010683656848725954,-0.026833127795616727,0.012949499311425425,0.011998983407696893,-0.019104582966240548,-0.03270666780752043,-0.02446012176454938,0.013986435255905188,0.04954599432304925
BAJFINANCE.NS,BAJFINANCE.NS,-0.014388352607181347,-0.044683954418997265,-0.021790141200641006,0.0013077648018716974,0.0016194677563489386,-0.0061917270358452835,-0.03924243791263613,0.025148709738660704,0.029378221827849275,-0.009441929563271093,-0.02159772896798979,0.006814957091627883
BHARTIARTL.NS,BHARTIARTL.NS,-0.004254382928769843,0.012539005346086209,-0.0009307368757077684,-0.017114282755629075,-0.009242192427934346,-0.0415656287390013,0.04194580368252483,0.011145430508926194,-0.049415405768043597,-0.04108829527387766,0.05569644035059904,-0.03507957804926292
BPCL.NS,BPCL.NS,-0.032114206668750596,-0.00294075746103653,0.007424177201444014,0.066017122093178,0.04042409849039488,-0.03513280477529552,0.017436372034255517,-0.03878630919592056,0.03017067561794564,-0.03192613303638902,-0.026287414602289755,-0.033068616530301444
BRITANNIA.NS,BRITANNIA.NS,0.009006086918237602,-0.05407064284204808,0.039071952326423146,0.010081684907223006,0.039153791834512584,-0.012518213465581626,0.006757468391820858,0.018539189853611755,-0.0011371393900565165,0.02759176391380876,-0.009516881321349582,0.00960371328395653
CIPLA.NS,CIPLA.NS,0.030465104445195533,0.018926524391570995,0.05583269291473912,-0.03915635265559036,-0.004442003889959793,0.005869040762464752,-0.02119905989735407,-0.0067659332788341285,0.011365265158595974,-0.00541983159557037,0.025158745725701048,-0.018983394314925996
COALINDIA.NS,COALINDIA.NS,-0.022057415934961525,0.044111799602143766,0.0317685896152655,0.017471658224867993,-0.03732844440616251,-0.03502286821818864,0.0019837420911690898,0.034987314275755535,0.025693518984303613,0.022640935984187458,-0.010290155856455657,0.02574067889907158
