Price,Ticker,embed_1,embed_2,embed_3,embed_4,embed_5,embed_6,embed_7,embed_8,embed_9,embed_10,embed_11,embed_12,embed_13,embed_14,embed_15,embed_16,embed_17,embed_18,embed_19,embed_20,embed_21,embed_22,embed_23,embed_24
ADANIPORTS.NS,ADANIPORTS.NS,-0.013046467146669554,0.010191393958059243,-0.02182685478167196,-0.017571684339417994,0.01736854199367867,0.020750475894711476,0.024551860358453418,-0.008344293333863563,0.014326407203840633,0.014462297746390865,0.05384407689569521,-0.03600328472460226,-0.017132246097077624,0.058550612387707056,-0.053394894336806456,0.0032715456357486844,0.012324345641604473,0.0003677457657250214,0.038319736277369704,-0.046073248846808135,0.009291132518493256,-0.028988790494741023,0.06751661186722657,0.02674181433909823
ASIANPAINT.NS,ASIANPAINT.NS,0.004068902321998409,-0.054397603253281315,-0.006221756743631693,-0.007226239758918594,0.02900498374248513,-0.0032977831444040806,-0.01583801741681932,0.0050175915746799955,0.01442950709802069,-0.00017460169855719454,0.016561993839503186,-0.03722545090624693,0.003457702342832628,-0.002607860109184723,-0.07120574646569895,0.009359330476545882,-0.05919042125850749,0.03656112944496437,0.010713056840119322,-0.009139839798620942,-0.04112134191619714,-0.022618046358113545,-0.046299873354318254,0.015420355516189518
AXISBANK.NS,AXISBANK.NS,-0.016352641732962754,-0.007278491555189275,-0.0310484204422037,-0.029914406702330216,-0.03477868593297145,-0.021643868351573513,0.011279928472469945,-0.028319537740742213,0.0036605835427988937,-0.011067619660281513,-0.03171954590312136,-0.00860407262872231,0.0008397810468181794,0.05445803125188259,0.007471754073740713,0.014791749618191935,-0.05595535801917243,-0.03343961907781681,0.0011304560903788823,-0.020658501318035448,0.0035781838672834508,0.020688022566646314,-0.05459300806010116,-0.012798766991328826
BAJAJ-AUTO.NS,BAJAJ-AUTO.NS,-0.0047105218940984754,-0.010605171854000481,0.05551166933326328,0.010683656848705503,-0.02683312779561151,0.01294949931149475,0.011998983407628928,-0.01910458296624223,-0.03270666780749148,-0.024460121764570922,0.013986435255975194,0.04954599432309951,0.04057812958969178,-0.03274740133438699,0.0032789847762937857,0.027174239741799566,-0.021256263139714956,0.016560315854405646,0.006015074954772461,-0.030961757920727903,-0.0018628525069407406,-0.05180174819550286,-0.009004561758026502,0.04337727318813372
BAJFINANCE.NS,BAJFINANCE.NS,-0.01438835260718015,-0.044683954418997716,-0.021790141200637308,0.0013077648018777785,0.0016194677563546775,-0.00619172703603263,-0.03924243791261531,0.025148709738660027,0.029378221827852956,-0.009441929563246864,-0.021597728967959605,0.00681495709170662,0.030493889338087596,-0.010924987543796585,0.04893714612331181,0.0276288918221567,0.00866893784516495,0.009192841456281726,-0.03419888061635443,0.03995625023957067,0.01993891728869566,-0.027912881419972547,0.027242359340736575,0.055328714837986584
BHARTIARTL.NS,BHARTIARTL.NS,-0.004254382928770019,0.012539005346086795,-0.0009307368757159905,-0.01711428275563082,-0.009242192427935319,-0.04156562873881859,0.0419458036826721,0.011145430508875892,-0.04941540576804171,-0.041088295273941665,0.055696440350568345,-0.03507957804921246,0.08090049368866768,-0.004106831817991658,0.05555496571703222,-0.022430943087218696,0.031741007414509796,-0.019138536886759896,-0.003933499118128177,-0.027494305872099698,0.009531293311347673,0.015474358548528877,0.02339018340768683,-0.0264522045144003
BPCL.NS,BPCL.NS,-0.032114206668750596,-0.0029407574610369872,0.007424177201467756,0.06601712209317494,0.040424098490391934,-0.03513280477519535,0.017436372034407167,-0.038786309195943815,0.030170675617973767,-0.03192613303636925,-0.026287414602335944,-0.0330686165302771,-0.003184576291060944,-0.02466380543039187,0.014077312592739378,-0.011701586069657308,0.018998290307916364,-0.031507581756354264,0.0198234136572769,-0.005269751631899208,-0.003922504689423391,-0.0007447718654075556,0.009406510138792129,0.017729630898932976
BRITANNIA.NS,BRITANNIA.NS,0.009006086918239843,-0.054070642842045415,0.03907195232642995,0.010081684907209601,0.03915379183451045,-0.012518213465571977,0.006757468391884287,0.018539189853611273,-0.001137139390090159,0.02759176391379631,-0.009516881321329659,0.009603713283965648,-0.0022306906636044934,0.06693510667701393,-0.006778060646381209,-0.023996248507571424,0.04124827277648758,-0.008187267363530027,0.01517414016275133,0.04173929972825291,-0.013325539756697,0.048405204405169225,-0.010559343115411915,-0.00618649643825533
CIPLA.NS,CIPLA.NS,0.03046510444519641,0.018926524391575834,0.05583269291472426,-0.03915635265560862,-0.00444200388996048,0.005869040762380787,-0.021199059897378886,-0.006765933278838815,0.011365265158600611,-0.0054198315955469225,0.025158745725681525,-0.018983394315024896,-0.04435027890720635,0.04697147924824975,0.0483570977914532,-0.015715252519089593,-0.015690872777315915,0.0430140876596922,-0.005963274133735389,-0.03094467723153122,0.013576792396635312,-0.004154418484678434,0.010707291977762599,-0.003529430281662573
COALINDIA.NS,COALINDIA.NS,-0.02205741593496212,0.04411179960214569,0.03176858961527057,0.017471658224858803,-0.037328444406165465,-0.035022868218201594,0.0019837420913302803,0.034987314275763855,0.02569351898428107,0.022640935984182316,-0.010290155856407879,0.02574067889907958,-0.004245182683916106,0.021743085820811178,0.022871918260126575,0.013808828446897587,-0.043315693765792126,0.020868305621622583,0.054126915179853935,0.03232734114896096,0.020324169433479006,-0.008392521570177133,0.028560443410686823,0.032240002585973815
DIVISLAB.NS,DIVISLAB.NS,0.03041485357311072,-0.013830913554635445,0.026293303052904567,-0.06288769715204967,0.015573806273624893,-0.03277936358920629,-0.04164248732537695,0.0032798868591016324,0.02394502514511501,-0.052940288546365136,-0.02358860259749335,0.008041781535340577,0.03489095842991806,0.002039644293699024,-0.026845638483949056,0.01460639148472437,0.0026941314918941675,-0.05317187241645574,0.02464870832089868,-0.019556964984422484,-0.002481210721213174,-0.01280755607644277,0.023110371305410084,0.009335503912840918
DRREDDY.NS,DRREDDY.NS,0.03811544732318459,0.009627613870822537,0.05962334828036877,-0.05450840386791165,0.005186332989449982,-0.01996609528363046,0.022829422456996935,-0.0007803833500610083,0.0577470821317388,0.0009053342450749536,-0.036026134434155824,0.010626964020043431,0.014120122334501774,-0.037587551159814284,-0.03759521795543317,-0.014801029551787994,0.022133131685302402,0.056433787528733834,-0.015109938118833457,0.016606895747094414,-0.005109418456578065,0.007905549421583667,0.020689145962496335,-0.026254782159466073
EICHERMOT.NS,EICHERMOT.NS,-0.012100386285649847,-0.023466076597919452,0.03395810601240095,0.013083639992418789,-0.011922587962574274,0.07024510836852428,0.006364475769861345,0.02356678491005942,0.010937847168100097,0.015153829807184903,0.0037888025543183325,-0.025623662801254627,0.013358882163869752,0.019631273456852713,0.07264976329875554,0.03951793092337317,-0.0015796600390913028,0.018592364533826133,0.038099744038528865,0.023674031622978094,-0.04837687185153217,0.02791697146921428,-0.004852906208404012,-0.033098452408195554
GAIL.NS,GAIL.NS,-0.018514034965982442,0.041185852970707815,0.016186436600004905,0.03392710711284175,0.021863374735987658,-0.03966839750415847,0.00031192152652947166,-0.017473931010426692,-0.031694504406777554,-0.011106178369984633,-0.026131795198600014,0.039930011452489964,0.0005146472938551403,0.032524978107731445,-0.02648871533020547,0.03815882390095999,0.03238893072477934,0.017843035843837233,-0.0632345024626133,0.010675153302280176,-0.011708383700049617,-0.04085094680441925,-0.024608384852452925,-0.04461486820457442
GRASIM.NS,GRASIM.NS,-0.01694903890301015,0.010450938983386577,-0.026425868248602203,-0.030056462240307013,0.033280970636531765,0.0341540115481729,-0.0023282963982146983,-0.0032014270139971565,-0.015839474684666562,-0.01253547634334655,0.008271995856980052,-0.0043040505689866,-0.023085998284807258,-0.03797607991302725,0.03197192888296132,-0.030777844987921747,0.0357303166232036,0.0772054285877651,-0.004603659988361596,-0.024835621868858796,-0.0031819767458718218,-0.02136374707102724,-0.00344249131173598,-0.006690415079282498
HCLTECH.NS,HCLTECH.NS,0.07321038064126395,0.0067190667441322125,-0.008319444939859713,0.03104609121835831,-0.004800167408936532,0.02093033188249672,0.004624947018868948,0.002264933384069403,0.018162095722027195,-0.0027532143309895673,0.018716841212518126,0.004235017087805915,-0.0291658646697786,0.008248209581397239,0.022460514915705963,-0.00519396702707167,-0.027076399978317078,-0.023590931726122626,-0.011145168061602194,-0.0147275167186856,0.014242486667731504,0.015004945444966566,-0.023664639878907774,0.00408361520084968
HDFCBANK.NS,HDFCBANK.NS,-0.015900217219682145,-0.03828268340376353,-0.02392820064431528,0.001797157924459119,-0.029861407729827955,-0.019396683848122036,-0.005579692784763207,-0.025371980173445767,0.004235361045381666,0.04101671515263096,-0.011413331645498534,0.02904973158543077,-0.02920216796692661,0.010142218653497332,0.010595260055292703,-0.014866396984771242,0.009461448156066931,-0.014594586784701278,-0.03603041380036977,-0.043591511160967766,0.022563014525548507,0.024317207063860195,0.019187544709444632,0.0053379901402190585
HEROMOTOCO.NS,HEROMOTOCO.NS,-0.012096823294372908,-0.022638620364446804,0.04747188745327922,0.027534827268547717,-0.017327387936869856,0.04405194266387352,0.009908667071425356,-0.02748932208343183,-0.05501257828626133,0.017185284177958268,0.01987880653246843,0.000903057728375786,0.030321820391195988,-0.01933717500573994,-0.023860250545066197,-0.005142622713692271,-0.04125339359737935,-0.01703591056861268,-0.023522435834894,-0.018007122003076904,-0.04042333817889422,-0.0037142999410683126,0.017353779682319943,-0.03174518398744736
HINDALCO.NS,HINDALCO.NS,-0.004986019662644657,0.04547995340133488,-0.003377202287073448,0.0008566644832176437,0.020114238269797864,0.026505909511456465,-0.04085081672450151,-0.045596949205368054,-0.03511658946579379,0.04267195015214462,-0.016782643280901996,-0.024520271221002896,0.021564176517208034,0.012232193786627814,-0.013086884588420509,0.035454002284841954,-0.019056691818073693,-0.0037432419570864474,-0.037331779179624956,0.01009378216768838,0.0027402075781332758,0.02016796911575287,0.019669547533988186,0.018257461580658645
HINDPETRO.NS,HINDPETRO.NS,-0.041129972960008684,-0.006632914286140738,0.009907089985925776,0.0627533259943738,0.04497946279187844,-0.03198555024683098,0.00713410829898233,-0.014712853266881199,0.03236575560635515,-0.02976320611466287,-0.019925056294848448,-0.05129974668451066,-0.006899646822552703,-0.016059708039292665,0.005181992520425791,-0.0252023591824988,-0.015214037341936538,0.013963923705568662,0.003653021554994474,-0.010286965622331605,-0.01997324095533846,0.010974418817137687,0.019457258749631095,0.0005901472187260461
HINDUNILVR.NS,HINDUNILVR.NS,0.012547760299981985,-0.05688601020917344,0.013204056191535586,0.007122827723133693,0.03224124533062964,-0.03712793150499045,0.017262081296993498,0.01855666185843686,-0.04659575296205766,0.022770342890658293,0.024251004703896736,-0.02093689042969024,0.004793704696787126,0.011094255431776492,-0.014695041869029458,0.007398557023394864,-0.02843239503381013,0.037046982918998,-0.028969663084585515,0.05422388283715546,0.05621003318900055,0.023587930270680953,0.010528113352283437,-0.014154122599366145
ICICIBANK.NS,ICICIBANK.NS,-0.02404901004089328,-0.0025549648553879543,-0.03883949770413607,-0.042039014545589067,-0.05215562200096089,-0.019446733744766773,0.028439436737910755,-0.024649975574724942,0.006504822900512539,-0.004750422971506016,0.01164484931251317,-0.024032334978806694,0.02360056520988672,-0.00021179032152174746,-0.006631978400042783,0.002408680055315589,0.011089111399168345,0.029175274928276294,0.004860666765534997,0.03013020788966872,0.017469541798791736,0.010633498538179003,-0.028546639243964257,-0.04010108142462799
INDUSINDBK.NS,INDUSINDBK.NS,-0.025273216517197286,-0.023296680158946956,-0.007190496585306614,-0.0052694550537502535,-0.00975054627000259,-0.006500629733963286,-0.056729161656236336,-0.02263558641297718,-0.0007605786077888296,0.02067983376984335,-0.03353269763977165,-0.004517674710716862,-0.04498818434252399,-0.0004957499842629055,0.04016714961057976,-0.02908581169937918,-0.008105533790320717,-0.006175421358496368,-0.0036585874632010956,-0.03379277506760043,-0.02070832991865498,-0.034479629657297534,-0.0016370280818605565,-0.05270839246158896
