Price,Ticker,embed_1,embed_2,embed_3,embed_4,embed_5,embed_6,embed_7,embed_8,embed_9,embed_10,embed_11,embed_12,embed_13,embed_14,embed_15,embed_16,embed_17,embed_18,embed_19,embed_20,embed_21,embed_22,embed_23,embed_24,embed_25,embed_26,embed_27,embed_28
ADANIPORTS.NS,ADANIPORTS.NS,-0.01304646714666955,0.01019139395805925,-0.02182685478167198,-0.017571684339418022,0.017368541993678675,0.02075047589471146,0.024551860358453415,-0.008344293333863575,0.014326407203840628,0.014462297746390872,0.053844076895695175,-0.03600328472460224,-0.017132246097077627,0.05855061238770705,-0.053394894336806456,0.0032715456357486797,0.012324345641604478,0.0003677457657250293,0.0383197362773697,-0.04607324884680817,0.009291132518493268,-0.028988790494741012,0.0675166118672266,0.026741814339098207,-0.010330552042707164,0.0033934567125399858,0.01984040100062486,-0.046933196968504044
ASIANPAINT.NS,ASIANPAINT.NS,0.004068902321998359,-0.05439760325328132,-0.006221756743631708,-0.007226239758918559,0.029004983742485137,-0.0032977831444040606,-0.01583801741681935,0.005017591574679984,0.014429507098020676,-0.00017460169855717606,0.01656199383950321,-0.037225450906246925,0.0034577023428326173,-0.002607860109184701,-0.07120574646569891,0.009359330476545897,-0.059190421258507465,0.03656112944496436,0.010713056840119351,-0.009139839798620958,-0.041121341916197145,-0.02261804635811356,-0.04629987335431826,0.015420355516189537,-0.030352816091810408,-0.01079775033481743,-0.02976932980103307,-0.008575615634651122
AXISBANK.NS,AXISBANK.NS,-0.016352641732962764,-0.007278491555189307,-0.03104842044220373,-0.029914406702330237,-0.03477868593297147,-0.02164386835157352,0.011279928472469966,-0.02831953774074223,0.0036605835427988924,-0.011067619660281513,-0.03171954590312137,-0.008604072628722313,0.0008397810468181763,0.054458031251882574,0.007471754073740718,0.014791749618191937,-0.05595535801917241,-0.03343961907781681,0.0011304560903788701,-0.020658501318035444,0.0035781838672834564,0.020688022566646307,-0.05459300806010117,-0.012798766991328828,-0.021353203345711037,-0.016614394933490567,0.05598107736658366,3.8970609115835754e-05
BAJAJ-AUTO.NS,BAJAJ-AUTO.NS,-0.00471052189409848,-0.01060517185400048,0.05551166933326328,0.010683656848705493,-0.026833127795611516,0.01294949931149476,0.011998983407628934,-0.019104582966242237,-0.03270666780749145,-0.024460121764570908,0.013986435255975208,0.04954599432309951,0.0405781295896918,-0.032747401334387,0.003278984776293772,0.02717423974179955,-0.021256263139714956,0.016560315854405636,0.00601507495477246,-0.03096175792072791,-0.0018628525069407456,-0.05180174819550287,-0.009004561758026507,0.04337727318813373,-0.005595313883160458,-0.08638304603113356,0.013351263866173161,0.015012918648745774
BAJFINANCE.NS,BAJFINANCE.NS,-0.014388352607180148,-0.044683954418997675,-0.021790141200637318,0.0013077648018777705,0.0016194677563546483,-0.006191727036032612,-0.039242437912615315,0.025148709738660048,0.02937822182785294,-0.009441929563246878,-0.021597728967959605,0.006814957091706616,0.030493889338087617,-0.010924987543796597,0.04893714612331181,0.02762889182215669,0.008668937845164952,0.009192841456281723,-0.034198880616354455,0.03995625023957068,0.01993891728869566,-0.02791288141997255,0.027242359340736603,0.05532871483798657,0.035385208364805895,0.007851581093218474,0.007458025961458398,-0.029377665760049992
BHARTIARTL.NS,BHARTIARTL.NS,-0.004254382928770025,0.012539005346086757,-0.000930736875715994,-0.01711428275563082,-0.009242192427935354,-0.04156562873881863,0.04194580368267207,0.011145430508875861,-0.04941540576804166,-0.041088295273941644,0.05569644035056836,-0.03507957804921246,0.08090049368866771,-0.0041068318179916545,0.05555496571703222,-0.022430943087218713,0.031741007414509796,-0.019138536886759903,-0.003933499118128183,-0.027494305872099726,0.009531293311347683,0.015474358548528865,0.02339018340768682,-0.026452204514400317,-0.023458501551289937,0.01280842121373636,-0.026008192111348652,-0.033685631732759666
BPCL.NS,BPCL.NS,-0.032114206668750596,-0.0029407574610369742,0.007424177201467747,0.06601712209317494,0.040424098490391955,-0.035132804775195293,0.017436372034407163,-0.038786309195943856,0.030170675617973763,-0.03192613303636929,-0.02628741460233592,-0.0330686165302771,-0.0031845762910609945,-0.02466380543039188,0.014077312592739383,-0.011701586069657313,0.01899829030791637,-0.031507581756354264,0.01982341365727691,-0.005269751631899202,-0.003922504689423396,-0.000744771865407563,0.009406510138792143,0.017729630898932966,0.019496139598529756,-0.009753942080748744,-0.0011378806893603025,0.008877436984898734
BRITANNIA.NS,BRITANNIA.NS,0.009006086918239838,-0.054070642842045394,0.039071952326429966,0.010081684907209586,0.039153791834510454,-0.012518213465571991,0.006757468391884288,0.01853918985361128,-0.0011371393900901459,0.027591763913796304,-0.009516881321329662,0.00960371328396567,-0.0022306906636045125,0.06693510667701394,-0.006778060646381215,-0.023996248507571434,0.04124827277648758,-0.008187267363530017,0.015174140162751343,0.041739299728252924,-0.013325539756697013,0.04840520440516924,-0.010559343115411917,-0.006186496438255313,-0.0037843113872383146,-0.008211001405963777,-0.03682952282651748,-0.011790001205468975
CIPLA.NS,CIPLA.NS,0.03046510444519643,0.01892652439157587,0.05583269291472428,-0.03915635265560863,-0.004442003889960476,0.005869040762380798,-0.021199059897378907,-0.006765933278838842,0.011365265158600608,-0.0054198315955469424,0.025158745725681532,-0.018983394315024882,-0.044350278907206366,0.04697147924824973,0.04835709779145318,-0.015715252519089593,-0.015690872777315918,0.04301408765969219,-0.005963274133735394,-0.03094467723153122,0.013576792396635316,-0.004154418484678442,0.010707291977762613,-0.0035294302816625918,0.06637581767854506,-0.01536940844691668,-0.00414677041355874,-0.0068188728099354955
COALINDIA.NS,COALINDIA.NS,-0.02205741593496215,0.04411179960214568,0.031768589615270584,0.01747165822485881,-0.03732844440616549,-0.03502286821820162,0.0019837420913303154,0.03498731427576385,0.025693518984281044,0.022640935984182316,-0.010290155856407864,0.025740678899079567,-0.004245182683916115,0.02174308582081118,0.022871918260126564,0.013808828446897604,-0.04331569376579212,0.020868305621622577,0.054126915179853935,0.032327341148960964,0.02032416943347899,-0.00839252157017714,0.02856044341068683,0.032240002585973836,-0.039655646919282084,0.02908607688006606,0.008131709193911832,0.022134118434740984
