Price,Ticker,embed_1,embed_2,embed_3,embed_4,embed_5,embed_6,embed_7,embed_8,embed_9,embed_10,embed_11,embed_12,embed_13,embed_14,embed_15,embed_16,embed_17,embed_18,embed_19,embed_20
ADANIPORTS.NS,ADANIPORTS.NS,-0.013046467146668761,0.01019139395806031,-0.021826854781670603,-0.017571684339421908,0.01736854199367644,0.020750475894654674,0.024551860358494167,-0.008344293333882431,0.014326407203859972,0.014462297746382875,0.05384407689541602,-0.03600328472502631,-0.01713224609704009,0.05855061238791517,-0.05339489433655342,0.0032715456358037884,0.012324345641571177,0.0003677457657537772,0.03831973627737754,-0.04607324884680691
ASIANPAINT.NS,ASIANPAINT.NS,0.004068902321996796,-0.05439760325328182,-0.006221756743628856,-0.007226239758919509,0.029004983742482268,-0.0032977831443444087,-0.015838017416839285,0.005017591574687539,0.014429507098023481,-0.00017460169857165376,0.016561993839243293,-0.037225450906411675,0.003457702342853988,-0.0026078601088934104,-0.07120574646562461,0.009359330476523863,-0.05919042125854294,0.03656112944498315,0.010713056840121237,-0.00913983979852796
AXISBANK.NS,AXISBANK.NS,-0.01635264173296241,-0.007278491555189109,-0.031048420442198077,-0.029914406702336072,-0.03477868593295606,-0.021643868351632324,0.011279928472405313,-0.028319537740747937,0.003660583542777643,-0.011067619660273878,-0.031719545903181,-0.00860407262844526,0.000839781046790338,0.05445803125186816,0.007471754074008401,0.014791749618103714,-0.05595535801918752,-0.03343961907777633,0.0011304560904143552,-0.02065850131807447
BAJAJ-AUTO.NS,BAJAJ-AUTO.NS,-0.004710521894100809,-0.010605171854000343,0.055511669333260905,0.01068365684871626,-0.026833127795615995,0.012949499311438814,0.0119989834076761,-0.01910458296625211,-0.0327066678075241,-0.024460121764535523,0.013986435256314654,0.04954599432302435,0.04057812958966234,-0.03274740133441949,0.0032789847761605837,0.02717423974179113,-0.02125626313970867,0.01656031585442788,0.006015074954818655,-0.03096175792069478
BAJFINANCE.NS,BAJFINANCE.NS,-0.01438835260718019,-0.044683954418997564,-0.021790141200637287,0.001307764801873033,0.001619467756347382,-0.006191727035917837,-0.03924243791261964,0.02514870973866755,0.029378221827844435,-0.009441929563307931,-0.021597728967903695,0.006814957091906831,0.030493889338075213,-0.010924987543988818,0.04893714612328909,0.027628891822136178,0.008668937845146848,0.009192841456281934,-0.03419888061637799,0.03995625023950547
BHARTIARTL.NS,BHARTIARTL.NS,-0.004254382928769102,0.01253900534608738,-0.0009307368757136576,-0.01711428275563301,-0.00924219242792013,-0.04156562873894206,0.041945803682600334,0.011145430508885867,-0.04941540576808484,-0.04108829527389196,0.05569644035034578,-0.03507957804952248,0.08090049368865247,-0.0041068318181828834,0.055554965717044956,-0.02243094308719303,0.0317410074145281,-0.019138536886764295,-0.0039334991181120115,-0.027494305872116116
BPCL.NS,BPCL.NS,-0.032114206668749756,-0.0029407574610363493,0.007424177201453152,0.06601712209317716,0.040424098490414104,-0.03513280477524571,0.017436372034293598,-0.03878630919594327,0.030170675617922315,-0.03192613303640004,-0.026287414602560386,-0.033068616530103886,-0.003184576291062865,-0.02466380543044002,0.01407731259266196,-0.011701586069652393,0.01899829030789808,-0.031507581756375955,0.019823413657240867,-0.005269751631867833
BRITANNIA.NS,BRITANNIA.NS,0.009006086918236851,-0.054070642842045824,0.03907195232642866,0.010081684907216696,0.03915379183451751,-0.01251821346556721,0.006757468391848002,0.018539189853624953,-0.001137139390050054,0.027591763913794514,-0.009516881321278654,0.00960371328401683,-0.0022306906635987988,0.06693510667703183,-0.006778060646179955,-0.023996248507510903,0.04124827277653378,-0.008187267363567757,0.01517414016270146,0.04173929972829265
CIPLA.NS,CIPLA.NS,0.03046510444519393,0.01892652439157517,0.0558326929147333,-0.03915635265559859,-0.0044420038899657815,0.005869040762439029,-0.021199059897367766,-0.006765933278835729,0.011365265158589582,-0.005419831595557124,0.025158745725563154,-0.018983394315131023,-0.044350278907213936,0.0469714792480545,0.04835709779164995,-0.01571525251913046,-0.015690872777260775,0.04301408765970617,-0.0059632741336415095,-0.030944677231544444
COALINDIA.NS,COALINDIA.NS,-0.022057415934961813,0.04411179960214612,0.031768589615267205,0.017471658224865873,-0.037328444406154744,-0.035022868218203475,0.001983742091239947,0.034987314275762356,0.02569351898432902,0.022640935984162003,-0.01029015585622226,0.025740678899194895,-0.004245182683934122,0.021743085820707657,0.02287191826019883,0.013808828446831043,-0.043315693765763164,0.02086830562159967,0.05412691517985113,0.03232734114899684
DIVISLAB.NS,DIVISLAB.NS,0.030414853573108486,-0.013830913554636079,0.02629330305291926,-0.06288769715204595,0.015573806273627712,-0.032779363589091025,-0.041642487325448486,0.0032798868591207967,0.02394502514504306,-0.052940288546419884,-0.02358860259745137,0.008041781535477958,0.034890958429915415,0.0020396442938031938,-0.026845638483935445,0.014606391484747459,0.0026941314918307838,-0.053171872416452465,0.024648708320858193,-0.01955696498441567
DRREDDY.NS,DRREDDY.NS,0.03811544732318108,0.009627613870821406,0.05962334828038097,-0.054508403867900866,0.005186332989463755,-0.01996609528368894,0.022829422456934405,-0.0007803833500819188,0.057747082131746,0.0009053342450100031,-0.03602613443408626,0.010626964020230825,0.014120122334514158,-0.03758755115968724,-0.03759521795559399,-0.014801029551750906,0.022133131685295834,0.05643378752872123,-0.015109938118842647,0.016606895747113586
EICHERMOT.NS,EICHERMOT.NS,-0.012100386285652388,-0.023466076597919324,0.03395810601239809,0.01308363999242749,-0.01192258796260337,0.07024510836851118,0.006364475770057,0.023566784910023095,0.010937847168131083,0.015153829807169372,0.0037888025541466743,-0.025623662801201336,0.01335888216386099,0.019631273456580445,0.07264976329886799,0.03951793092333824,-0.0015796600390979257,0.01859236453377777,0.038099744038485456,0.02367403162315194
GAIL.NS,GAIL.NS,-0.018514034965981006,0.041185852970708266,0.016186436599997654,0.033927107112844995,0.02186337473600304,-0.03966839750415957,0.0003119215264199603,-0.017473931010396918,-0.03169450440679669,-0.011106178369947105,-0.026131795198353115,0.039930011452631586,0.0005146472938425819,0.03252497810782258,-0.02648871533010543,0.03815882390100824,0.03238893072472956,0.017843035843862175,-0.0632345024626174,0.010675153302238906
GRASIM.NS,GRASIM.NS,-0.01694903890300954,0.01045093898338742,-0.026425868248597325,-0.03005646224031076,0.033280970636517276,0.03415401154818987,-0.0023282963981222987,-0.003201427013996975,-0.015839474684684253,-0.012535476343330545,0.008271995856963496,-0.004304050569033086,-0.023085998284807906,-0.037976079913181096,0.03197192888278602,-0.030777844987899327,0.035730316623291555,0.077205428587768,-0.004603659988271256,-0.024835621868801415
HCLTECH.NS,HCLTECH.NS,0.07321038064126499,0.006719066744130182,-0.008319444939863417,0.03104609121835561,-0.004800167408944835,0.02093033188248592,0.004624947018923573,0.0022649333840538076,0.01816209572202926,-0.00275321433100686,0.01871684121256154,0.004235017087712948,-0.029165864669792527,0.008248209581331713,0.022460514915745397,-0.0051939670271276125,-0.027076399978284624,-0.023590931726109408,-0.011145168061574933,-0.014727516718741
HDFCBANK.NS,HDFCBANK.NS,-0.01590021721968179,-0.038282683403762716,-0.023928200644317756,0.0017971579244526953,-0.029861407729811853,-0.019396683848121547,-0.005579692784835626,-0.025371980173438363,0.004235361045421853,0.04101671515262812,-0.011413331645299955,0.029049731585523472,-0.029202167966923123,0.010142218653448293,0.010595260055307127,-0.014866396984778606,0.0094614481561011,-0.014594586784663311,-0.03603041380032116,-0.04359151116105811
HEROMOTOCO.NS,HEROMOTOCO.NS,-0.012096823294375255,-0.02263862036444634,0.04747188745327246,0.0275348272685575,-0.017327387936881218,0.04405194266382689,0.009908667071541583,-0.027489322083439686,-0.055012578286249905,0.01718528417802315,0.019878806532490294,0.0009030577282489473,0.030321820391202375,-0.019337175005626706,-0.023860250545116195,-0.00514262271372415,-0.041253393597400545,-0.017035910568556047,-0.023522435834937107,-0.018007122003011612
