Price,Ticker,embed_1,embed_2,embed_3,embed_4
ADANIPORTS.NS,ADANIPORTS.NS,-0.013046467146670989,0.01019139395805685,-0.02182685478166745,-0.017571684339425728
ASIANPAINT.NS,ASIANPAINT.NS,0.004068902322002331,-0.05439760325328062,-0.006221756743627755,-0.007226239758919681
AXISBANK.NS,AXISBANK.NS,-0.016352641732963205,-0.007278491555192444,-0.03104842044219508,-0.02991440670233969
BAJAJ-AUTO.NS,BAJAJ-AUTO.NS,-0.00471052189409589,-0.010605171853999224,0.05551166933326119,0.010683656848721393
BAJFINANCE.NS,BAJFINANCE.NS,-0.014388352607177409,-0.04468395441899919,-0.021790141200635053,0.001307764801875247
BHARTIARTL.NS,BHARTIARTL.NS,-0.004254382928771112,0.012539005346084998,-0.0009307368757111589,-0.017114282755628273
BPCL.NS,BPCL.NS,-0.032114206668750665,-0.0029407574610383247,0.0074241772014510266,0.06601712209317799
BRITANNIA.NS,BRITANNIA.NS,0.0090060869182452,-0.05407064284204285,0.039071952326428995,0.01008168490722087
CIPLA.NS,CIPLA.NS,0.030465104445197403,0.018926524391579658,0.05583269291473345,-0.03915635265559306
COALINDIA.NS,COALINDIA.NS,-0.0220574159349643,0.04411179960214706,0.03176858961526592,0.01747165822486518
DIVISLAB.NS,DIVISLAB.NS,0.030414853573113562,-0.013830913554632743,0.02629330305292259,-0.06288769715203589
DRREDDY.NS,DRREDDY.NS,0.038115447323186294,0.009627613870825901,0.05962334828038106,-0.054508403867897195
EICHERMOT.NS,EICHERMOT.NS,-0.012100386285646978,-0.02346607659791936,0.03395810601239824,0.013083639992426678
GAIL.NS,GAIL.NS,-0.018514034965985224,0.04118585297070792,0.01618643659999545,0.03392710711284679
GRASIM.NS,GRASIM.NS,-0.016949038903011502,0.010450938983383494,-0.026425868248593904,-0.03005646224031332
HCLTECH.NS,HCLTECH.NS,0.07321038064126292,0.0067190667441378036,-0.008319444939871386,0.031046091218355894
HDFCBANK.NS,HDFCBANK.NS,-0.01590021721968019,-0.0382826834037654,-0.02392820064431411,0.0017971579244512716
HEROMOTOCO.NS,HEROMOTOCO.NS,-0.012096823294369811,-0.02263862036444624,0.047471887453272577,0.027534827268559516
HINDALCO.NS,HINDALCO.NS,-0.004986019662648307,0.04547995340133376,-0.0033772022870759712,0.0008566644832151093
HINDPETRO.NS,HINDPETRO.NS,-0.041129972960008455,-0.006632914286142647,0.009907089985910188,0.06275332599437711
HINDUNILVR.NS,HINDUNILVR.NS,0.012547760299986882,-0.05688601020917108,0.01320405619153573,0.0071228277231387945
ICICIBANK.NS,ICICIBANK.NS,-0.02404901004089395,-0.0025549648553923505,-0.03883949770412493,-0.042039014545602285
INDUSINDBK.NS,INDUSINDBK.NS,-0.025273216517195586,-0.02329668015894805,-0.00719049658530283,-0.005269455053751715
INFY.NS,INFY.NS,0.07696872146682147,-0.0051373712702543145,-0.03610384307548151,0.020968241976862773
ITC.NS,ITC.NS,-0.014915157030392116,0.0005123385501172625,0.018618512664526833,-0.010614928067044758
JSWSTEEL.NS,JSWSTEEL.NS,-0.0019555231864175,0.02382176988324208,-0.009783850818822453,-0.03239045019353963
KOTAKBANK.NS,KOTAKBANK.NS,-0.018056597702525157,-0.03909498396223206,-0.01671512680791614,0.002819279175699358
LT.NS,LT.NS,-0.016805273610886785,0.00729929721316892,-0.03597641933511173,-0.004308526261425174
M&M.NS,M&M.NS,-0.006454706663093605,-0.011962168818769055,0.025208488276629432,0.011594533311000644
MARUTI.NS,MARUTI.NS,-0.011819905966246139,-0.037842073415006686,0.030875115437268383,0.011995425926748744
NTPC.NS,NTPC.NS,-0.022488609389515777,0.04657428942503506,-0.0027721159302658725,0.010115170289705395
ONGC.NS,ONGC.NS,-0.014274269846835455,0.06457736271854075,0.017484459282427495,0.03236074299763221
POWERGRID.NS,POWERGRID.NS,-0.024727029892819656,0.03593701527880008,-0.01859937282028288,0.01803490679472454
RELIANCE.NS,RELIANCE.NS,0.008330286049620793,-0.008223074020173377,0.0155317210098724,0.021676466491008378
SBIN.NS,SBIN.NS,-0.036696415073884096,0.005165913275910928,-0.030840983715011316,-0.02706031491747547
SHREECEM.NS,SHREECEM.NS,-0.008308379519936276,0.003507483335726621,-0.01820069039166756,-0.02095499370344701
SUNPHARMA.NS,SUNPHARMA.NS,0.03635636544599695,0.03434330245433474,0.04329537367096902,-0.05006461287162426
TATACONSUM.NS,TATACONSUM.NS,-0.005364010447086922,-0.01282249679678081,-0.005100145843319313,-0.014564794077998173
TATAMOTORS.NS,TATAMOTORS.NS,-0.005051686502358368,0.030602694019465353,0.01650975223701876,-0.0005643660320434918
TATAPOWER.NS,TATAPOWER.NS,-0.007699288098837981,0.028596837585565315,-0.025907643015138763,-0.00590309835664544
TCS.NS,TCS.NS,0.06340805066440168,-0.001085240378346008,-0.021853782934733165,0.03926082880915527
TECHM.NS,TECHM.NS,0.059698519345992795,0.011765050675659333,-0.04492258069898248,0.027947560246924852
TITAN.NS,TITAN.NS,0.003388146125949147,-0.02357483664176675,-0.03505527441065245,-0.01879748064872749
ULTRACEMCO.NS,ULTRACEMCO.NS,-0.005896963164767305,0.0021754465468840326,-0.015726105464150122,-0.022811490256624843
UPL.NS,UPL.NS,0.0019310807353702802,9.59837554432282e-06,-0.010542206650721937,0.005318153867317541
WIPRO.NS,WIPRO.NS,0.05951895570211323,0.012188092166238142,-0.030634341226061956,0.03621939985376216
