Price,Ticker,embed_1,embed_2,embed_3,embed_4,embed_5,embed_6,embed_7,embed_8
ADANIPORTS.NS,ADANIPORTS.NS,-0.0130464671466709,0.01019139395805752,-0.021826854781665954,-0.017571684339424302,0.017368541993686943,0.02075047589468382,0.024551860358478565,-0.008344293333856875
ASIANPAINT.NS,ASIANPAINT.NS,0.0040689023220021915,-0.05439760325328051,-0.006221756743629516,-0.007226239758919956,0.029004983742484145,-0.003297783144399837,-0.015838017416824633,0.00501759157466562
AXISBANK.NS,AXISBANK.NS,-0.016352641732963136,-0.007278491555191515,-0.031048420442194326,-0.029914406702341485,-0.03477868593297756,-0.021643868351581823,0.011279928472478898,-0.02831953774071885
BAJAJ-AUTO.NS,BAJAJ-AUTO.NS,-0.004710521894096109,-0.010605171854001122,0.055511669333260585,0.010683656848724432,-0.026833127795609354,0.012949499311484645,0.011998983407655681,-0.01910458296621627
BAJFINANCE.NS,BAJFINANCE.NS,-0.014388352607177479,-0.04468395441899833,-0.021790141200637204,0.001307764801872637,0.0016194677563550637,-0.0061917270359967014,-0.03924243791264168,0.025148709738615892
BHARTIARTL.NS,BHARTIARTL.NS,-0.004254382928771099,0.012539005346084927,-0.0009307368757101401,-0.01711428275562875,-0.009242192427954824,-0.041565628738840656,0.04194580368262568,0.011145430508953934
BPCL.NS,BPCL.NS,-0.03211420666875064,-0.0029407574610379674,0.007424177201448304,0.06601712209317838,0.04042409849037398,-0.03513280477523922,0.01743637203441261,-0.038786309195918106
BRITANNIA.NS,BRITANNIA.NS,0.00900608691824489,-0.05407064284204418,0.039071952326426684,0.010081684907222919,0.039153791834506214,-0.012518213465583192,0.006757468391857182,0.01853918985360777
CIPLA.NS,CIPLA.NS,0.030465104445197188,0.018926524391577243,0.055832692914735485,-0.039156352655591746,-0.004442003889957131,0.005869040762399363,-0.021199059897368148,-0.006765933278857102
COALINDIA.NS,COALINDIA.NS,-0.022057415934964283,0.04411179960214612,0.03176858961526629,0.017471658224863865,-0.03732844440617567,-0.03502286821818152,0.00198374209127659,0.034987314275765014
DIVISLAB.NS,DIVISLAB.NS,0.030414853573113347,-0.013830913554634255,0.026293303052923885,-0.0628876971520379,0.01557380627361654,-0.03277936358917859,-0.04164248732540342,0.0032798868590848
DRREDDY.NS,DRREDDY.NS,0.03811544732318603,0.009627613870823217,0.05962334828038362,-0.05450840386789476,0.005186332989443948,-0.01996609528365094,0.022829422456984366,-0.0007803833500580274
EICHERMOT.NS,EICHERMOT.NS,-0.012100386285647162,-0.02346607659792044,0.03395810601239746,0.013083639992431206,-0.011922587962550293,0.07024510836852971,0.006364475769895941,0.023566784910023505
GAIL.NS,GAIL.NS,-0.018514034965985127,0.04118585297070765,0.01618643659999527,0.03392710711284577,0.021863374735971268,-0.03966839750417181,0.00031192152651334827,-0.017473931010396095
GRASIM.NS,GRASIM.NS,-0.016949038903011412,0.01045093898338423,-0.026425868248592048,-0.03005646224031253,0.03328097063654345,0.034154011548165226,-0.0023282963981843883,-0.0032014270139985295
HCLTECH.NS,HCLTECH.NS,0.07321038064126302,0.006719066744138151,-0.008319444939871825,0.031046091218356497,-0.004800167408931632,0.020930331882494966,0.00462494701888358,0.0022649333840630568
HDFCBANK.NS,HDFCBANK.NS,-0.015900217219680206,-0.03828268340376444,-0.023928200644315813,0.0017971579244494878,-0.029861407729833,-0.01939668384811757,-0.005579692784758261,-0.025371980173455898
HEROMOTOCO.NS,HEROMOTOCO.NS,-0.012096823294370021,-0.02263862036444767,0.04747188745327112,0.027534827268563853,-0.017327387936855593,0.04405194266385936,0.009908667071481464,-0.02748932208342808
HINDALCO.NS,HINDALCO.NS,-0.004986019662648166,0.04547995340133389,-0.0033772022870743844,0.0008566644832147054,0.020114238269807645,0.02650590951146429,-0.04085081672444008,-0.045596949205416584
HINDPETRO.NS,HINDPETRO.NS,-0.041129972960008435,-0.006632914286142381,0.009907089985907322,0.06275332599437715,0.04497946279186587,-0.03198555024686099,0.007134108298972454,-0.014712853266863193
HINDUNILVR.NS,HINDUNILVR.NS,0.012547760299986685,-0.0568860102091715,0.013204056191533335,0.007122827723139133,0.032241245330617875,-0.03712793150500722,0.01726208129695062,0.01855666185847695
ICICIBANK.NS,ICICIBANK.NS,-0.02404901004089384,-0.0025549648553912143,-0.038839497704123475,-0.04203901454560385,-0.052155622000966656,-0.019446733744781786,0.028439436737915647,-0.02464997557469595
INDUSINDBK.NS,INDUSINDBK.NS,-0.02527321651719562,-0.023296680158947754,-0.007190496585304116,-0.005269455053754397,-0.009750546270004264,-0.006500629733922555,-0.05672916165622515,-0.022635586413026848
INFY.NS,INFY.NS,0.07696872146682165,-0.005137371270253063,-0.036103843075482256,0.020968241976860914,-0.011284613344336994,-0.011224264786172038,0.004621270632599406,0.005416433775672393
ITC.NS,ITC.NS,-0.014915157030392185,0.0005123385501165536,0.018618512664527128,-0.010614928067044359,-0.028600542701754324,-0.02117865698905875,0.031050473987167194,0.050030423479260566
JSWSTEEL.NS,JSWSTEEL.NS,-0.0019555231864174416,0.023821769883242135,-0.009783850818820444,-0.0323904501935405,0.028966325661572728,0.019457535703242563,-0.045244929457603174,-0.038368485067342376
KOTAKBANK.NS,KOTAKBANK.NS,-0.018056597702525202,-0.039094983962231364,-0.016715126807918226,0.002819279175696519,-0.036411833248230004,-0.037276562518782703,-0.013903178342388208,-0.013747038748055034
LT.NS,LT.NS,-0.01680527361088662,0.00729929721317022,-0.0359764193351109,-0.0043085262614244845,-0.009312703430092132,0.010442164120787955,0.04754564701883201,0.03094256140542903
M&M.NS,M&M.NS,-0.006454706663093722,-0.011962168818769851,0.025208488276628603,0.011594533311002063,-0.03308183523135853,0.01331692249626644,0.013749750150158061,0.037935166874442865
MARUTI.NS,MARUTI.NS,-0.011819905966246361,-0.03784207341500765,0.030875115437266724,0.01199542592675133,-0.035914600671577715,0.05301401337628234,-0.01345192556873638,0.012478850692126184
