Price,Ticker,embed_1,embed_2,embed_3,embed_4,embed_5,embed_6,embed_7,embed_8,embed_9,embed_10,embed_11,embed_12,embed_13,embed_14,embed_15,embed_16
ADANIPORTS.NS,ADANIPORTS.NS,-0.013046467146669608,0.010191393958058985,-0.021826854781676244,-0.017571684339408103,0.017368541993683543,0.02075047589474335,0.024551860358424257,-0.008344293333871074,0.014326407203841497,0.014462297746396216,0.053844076895646714,-0.036003284724699346,-0.01713224609705692,0.05855061238782267,-0.0533948943366415,0.0032715456357749824
ASIANPAINT.NS,ASIANPAINT.NS,0.004068902321997863,-0.05439760325328128,-0.006221756743632741,-0.007226239758920199,0.029004983742481744,-0.003297783144415764,-0.01583801741682224,0.005017591574686712,0.014429507098015961,-0.00017460169854982582,0.016561993839408578,-0.03722545090632822,0.003457702342829793,-0.0026078601090079663,-0.07120574646567022,0.009359330476636256
AXISBANK.NS,AXISBANK.NS,-0.01635264173296278,-0.0072784915551901705,-0.03104842044221177,-0.029914406702321112,-0.03477868593295796,-0.02164386835155832,0.011279928472494195,-0.028319537740758977,0.003660583542798155,-0.011067619660287065,-0.031719545903147815,-0.008604072628640862,0.0008397810468141185,0.054458031251880964,0.007471754073878602,0.014791749618188433
BAJAJ-AUTO.NS,BAJAJ-AUTO.NS,-0.004710521894099035,-0.010605171853999215,0.05551166933326756,0.01068365684869385,-0.026833127795605403,0.012949499311503203,0.011998983407617457,-0.019104582966238567,-0.03270666780748455,-0.024460121764577486,0.013986435256036179,0.04954599432307795,0.040578129589686505,-0.03274740133442289,0.0032789847761935903,0.027174239741788446
BAJFINANCE.NS,BAJFINANCE.NS,-0.014388352607179963,-0.04468395441899852,-0.021790141200636864,0.0013077648018799994,0.001619467756338666,-0.006191727036077015,-0.03924243791259801,0.02514870973867989,0.029378221827854517,-0.009441929563271207,-0.02159772896794055,0.0068149570917813256,0.030493889338071137,-0.010924987543913281,0.048937146123311605,0.027628891822116274
BHARTIARTL.NS,BHARTIARTL.NS,-0.004254382928769481,0.012539005346085125,-0.0009307368757197328,-0.017114282755626334,-0.00924219242791173,-0.04156562873878358,0.041945803682719905,0.011145430508849665,-0.04941540576805621,-0.041088295273939764,0.05569644035050584,-0.03507957804926344,0.08090049368866943,-0.004106831818109054,0.055554965717044456,-0.022430943087289653
BPCL.NS,BPCL.NS,-0.03211420666875016,-0.0029407574610364577,0.007424177201485683,0.06601712209317372,0.040424098490413715,-0.035132804775160946,0.017436372034402653,-0.038786309195957935,0.030170675617958023,-0.03192613303637603,-0.026287414602374652,-0.03306861653024855,-0.003184576291079975,-0.024663805430400705,0.014077312592716957,-0.011701586069675635
BRITANNIA.NS,BRITANNIA.NS,0.009006086918239006,-0.05407064284204428,0.0390719523264345,0.010081684907197885,0.03915379183451026,-0.012518213465563019,0.006757468391889036,0.01853918985361136,-0.001137139390081397,0.02759176391380086,-0.009516881321301908,0.009603713283999659,-0.0022306906635849496,0.06693510667703519,-0.0067780606462730045,-0.0239962485075344
CIPLA.NS,CIPLA.NS,0.030465104445195703,0.01892652439157717,0.05583269291471297,-0.03915635265562578,-0.004442003889966875,0.005869040762362365,-0.021199059897384284,-0.0067659332788347435,0.011365265158581453,-0.005419831595535601,0.025158745725652867,-0.018983394314983682,-0.0443502789071938,0.04697147924815998,0.048357097791558064,-0.015715252519132403
COALINDIA.NS,COALINDIA.NS,-0.022057415934961744,0.044111799602147526,0.03176858961527308,0.017471658224846476,-0.037328444406162634,-0.0350228682182223,0.001983742091390513,0.0349873142757427,0.025693518984286522,0.022640935984170676,-0.010290155856372236,0.02574067889915562,-0.004245182683909089,0.021743085820760743,0.022871918260139984,0.013808828446924637
