Price,Ticker,embed_1,embed_2,embed_3,embed_4,embed_5,embed_6,embed_7,embed_8,embed_9,embed_10,embed_11,embed_12,embed_13,embed_14,embed_15,embed_16,embed_17,embed_18,embed_19,embed_20,embed_21,embed_22,embed_23,embed_24,embed_25,embed_26,embed_27,embed_28
ADANIPORTS.NS,ADANIPORTS.NS,0.004269493398682364,0.04058383369813431,0.045756462919609574,-0.0372413445954557,-0.06276997160145224,-0.0517099623821928,-0.020449143827605546,0.05706344804955712,0.00566549932997935,0.06628597959484603,-0.05394789173478925,0.10940828229171398,0.02709764899081762,-0.03034204767946559,-0.05463830267043167,-0.06037138880556642,-0.005563386624283444,-0.033318955972567274,-0.014755114548779313,0.009388365937465204,0.02943294484434258,-0.05794292638934236,-0.045726137177464904,-0.018581064944561847,0.01946256034165141,0.055154515156127466,-0.04050723163500962,0.015406479765947334
ASIANPAINT.NS,ASIANPAINT.NS,0.007239970660483977,-0.07318409580635177,0.039044722683479714,-0.04017656816295328,-0.05460581232203867,0.06192467840460227,0.08957484942156618,0.06437174827317266,0.009608988726517075,-0.08103895317465956,0.011326803930143488,-0.0024351093016638063,-0.06390182830425525,-0.024915691331236774,-0.05492570309180191,0.08036565880154065,-0.049148279394298715,0.03100370118905764,-0.042682010295850704,-0.012806528030885408,0.014835054117849512,-0.049418522476661696,0.09833737360712616,0.019174786310954806,0.060297995091341546,0.03793993459837331,-0.007079133600965857,0.06114723513048404
AXISBANK.NS,AXISBANK.NS,-0.05931761975104991,-0.050287404887637124,-0.03894470871425834,-0.01632403074999073,0.006840396784759229,-0.01753414214117198,0.06624566227211354,-0.03389912379026036,-0.0790426945559811,-0.016938448241980413,-0.05930821862781726,0.03994689467012606,-0.05936916407748212,0.055511210380085343,0.03967034391469868,-0.015276170907186701,-0.07976050341842958,0.03531656559671444,0.005567294812129142,0.02709851853644744,0.009288740334511722,-0.06154747444513364,-0.022939426030127826,-0.05055440031544077,0.0390783526527316,0.012070192975750968,-0.01032897245095183,-0.03965144402573636
BAJAJ-AUTO.NS,BAJAJ-AUTO.NS,-0.021578297921275146,-0.046503968885472244,0.0488594967619714,-0.022881234450990245,0.1022226196584115,0.03552783278194019,-0.0727597591838253,0.019489543711514228,0.058594233659470335,-0.03822026316739994,0.04961124246125771,-0.02669528738780441,0.04614039631478405,0.0036032615633519193,-0.04357580477776169,-0.05730725620573629,-0.05823832594161476,-0.027377953605524603,-0.03966018312335597,-0.0006777279930249347,0.06225007158298021,-0.020583291119299085,0.0012488596446933134,0.07708036722578913,-0.038762479241918335,-0.06173812504301167,0.0005963972215403031,-0.08946344692102519
BAJFINANCE.NS,BAJFINANCE.NS,0.032822209701062276,0.006972586055679474,0.006462819656570638,0.03586626647977743,0.03894664972750234,-0.04455181429799941,0.09200137470178628,0.00595765537394312,0.05408453407588367,0.0468732309560023,-0.026338030243670815,-0.034196807602559644,-0.07732494395529795,0.00901448109910029,0.0586326796454533,0.06942308464717828,-0.07484898150278967,-0.01500199689059196,-0.07966483308300058,-0.046610671733039746,-0.02349781495239266,-0.030879959781002508,0.05552243201919164,-0.040154760691127896,0.016005921178644803,0.012471417408081161,-0.034889487949107796,0.06804238143223862
BHARTIARTL.NS,BHARTIARTL.NS,0.07140409425391626,-0.047223166699957436,-0.02214615945066677,-0.024763772861427925,-0.029952064251426668,-0.12366675220901673,0.01751418456165904,-0.007518684938784675,-0.07357854050878641,-0.03760655430820562,0.07474501901430687,-0.04115694489655948,-0.03550655151585809,0.04308574485641636,0.11023484687603134,-0.08451927283645881,0.0011298631778975765,0.030268979953648602,-0.047668112553112756,0.04123537202931416,0.0014197378056931686,0.02914261582679855,0.029200030704021863,0.03317951465129418,-0.06999804777815519,0.04488652709938608,0.004590272145984068,-0.07967599487180146
BPCL.NS,BPCL.NS,-0.04460420822904857,0.03716781474235161,0.05699547954551097,-0.04687406887853308,-0.004538063689693681,-0.0755108518023132,0.023957602993170356,-0.1265809325305883,0.0943585496859516,0.007360774718286776,0.06262475899953554,-0.01870484852512717,-0.028553628990885357,-0.03606133233279576,0.0403977633909073,0.06819774768255432,-0.06308758736596226,-0.013680847217688365,0.046990798260924366,0.05263461222010326,0.047679880080246685,-0.0352964032317803,-0.03277536931169494,0.06462733023011255,0.04861111164437501,-0.0019127118666567256,0.017704559772566575,-0.03088255561091574
BRITANNIA.NS,BRITANNIA.NS,0.051438042252301114,0.03544512214254659,0.08039093465115638,0.010959232280484949,0.041392744000904674,-0.03023668414133226,-0.03702744886601907,0.06915828692412071,0.058049392932922,-0.10817399057747616,-0.05806802536989177,0.031351475012155725,-0.0957121531382854,-0.05400044184878749,0.034500617914593155,0.08188688849347381,0.0247121149050913,-0.054882351508864384,0.022148825269069607,-0.04590078475708009,-0.02492839513304604,0.04329559024960044,0.05517117175265577,0.07200955589534357,0.037672649265098036,0.0018754769447779532,-0.09996251810044354,-0.010976217676437689
CIPLA.NS,CIPLA.NS,-0.025441572181523108,-0.03746316031874827,0.05794936922580808,-0.008300108984295472,0.07566451486911926,0.03377000992383522,0.04214432027567196,0.011615554861392222,0.00012080066004651177,-0.02650839124229672,-0.06934678658538507,0.03984857840832228,0.025156328149579008,-0.06875902859250699,0.006872800233600464,-0.0710916838313487,0.11457869359113118,0.07840813788685429,0.06606336425307076,-0.009297888590402315,-0.07886780133732338,0.09879285734457777,-0.03272515774612437,0.053637625759612784,0.04098758325465038,0.05360055704519342,-0.016636855427320647,-0.06368969034559151
COALINDIA.NS,COALINDIA.NS,0.07395027495607098,-0.009135534146164833,-0.10185157122434077,0.029900618974380355,0.06945548920122362,0.02170183370988176,-0.003309792487098574,-0.11258228758115632,0.02353556872640403,0.058134879512223854,-0.06689030301348017,0.02934663508931616,0.09707686866819738,0.06940994590902774,0.028295316595937117,0.00012336492442408269,-0.035255009884543845,-0.07077613900203664,0.052595634229861486,0.048396470598537265,0.06313772306964217,0.08884664137948184,-0.033863698263396455,0.0072240023133848565,0.03579417100746817,0.006234033780590112,0.024353150493671632,0.015373344953964054
