Price,Ticker,embed_1,embed_2,embed_3,embed_4,embed_5,embed_6,embed_7,embed_8,embed_9,embed_10,embed_11,embed_12,embed_13,embed_14,embed_15,embed_16,embed_17,embed_18,embed_19,embed_20,embed_21,embed_22,embed_23,embed_24,embed_25,embed_26,embed_27,embed_28,embed_29,embed_30,embed_31,embed_32
ADANIPORTS.NS,ADANIPORTS.NS,-0.010436728468339847,-0.026914546683574098,0.0018498552538194445,-0.010761738893961474,-0.0133918945387092,0.0921169518821688,0.025088302743436652,0.07804715008749276,0.01270736840043042,0.002641692708041918,0.03294885329345591,0.07927047178730738,0.03916266662492535,0.06272694296319911,-0.06409911003186679,0.05098923121504393,-0.049102577547087425,-0.01829845621479203,-0.033633002800162244,0.04427229775909614,0.028192348138273773,0.022487541835444644,0.04645797761151012,-0.012298166210035651,0.045396156057417585,-0.015867365401655266,0.004818604290295737,-0.04702787651050578,0.03538290224281861,0.009269556566305787,-0.04533116274643471,-0.051849827349391975
ASIANPAINT.NS,ASIANPAINT.NS,0.05221852260970532,-0.04980156439426496,0.020769001989142378,0.07835257864903494,-0.013622349809010411,-0.06274903072303972,0.039201757793956,0.0319661663183004,0.02339424005109946,0.09350734435022673,-0.07373794368658913,0.013180436293820697,0.03786376014548113,0.0644970215704766,-0.05418448054436807,0.04646638023063389,0.02273864460157607,0.007900879875939362,-0.03092589333370722,0.04149201820460565,-0.0501245782666974,0.0029548994001166386,0.003845243733088906,0.0903944848678912,0.029277845260351695,0.0725549474434584,-0.01402000663217608,0.007429124040136678,0.023625040442628108,0.049899491071445624,0.05331289827684334,-0.06894057582646926
AXISBANK.NS,AXISBANK.NS,-0.010314325959742021,-0.004986776797038558,0.03257683028870518,-0.002432033288131725,-0.015506545640601848,-0.03171289213739175,-0.027429651806505487,-0.016894365049692463,0.014280201267433188,-0.019360810379399986,-0.09130919395632564,0.07618246861943218,0.010594212895697567,0.01131808411242798,0.02470278702467379,-0.019611175999120826,-0.08336951094020742,-0.01821160525926036,0.09680348120873226,0.04448064429757515,0.03153088684809841,-0.00643636806206783,-0.03454311785027576,-0.011217277339385157,0.012087237731219615,-0.07205141974319768,-0.0011360169842547369,-0.0034265808241256512,0.0032420166833525372,0.04266843236924797,-0.06512717893251603,-0.02084750165201897
BAJAJ-AUTO.NS,BAJAJ-AUTO.NS,-0.07547903987895406,0.09902507742197209,-0.0813394243570304,-0.012579605544727314,0.029422759665198563,-0.0025569766692910643,0.015413738510612195,-0.04581787777071305,0.010919617215186311,-0.022822539477366267,-0.04362342676123259,-0.031825964883551966,-0.022543723900624243,-0.018785761402147792,0.04695002444962536,0.04556027600856462,0.029615199116055837,-0.02080684705473185,-0.05605915039922882,0.0735107409053171,-0.044395363094266546,-0.06131201334643503,0.011973791626014692,0.014257018268463201,0.04339508365037536,0.0005006036257925324,-0.07976902747123532,0.08813853497045213,-0.018828952073917587,0.022827142263291945,-0.014026753108783043,0.01911824446189056
BAJFINANCE.NS,BAJFINANCE.NS,-0.04493095027174456,0.008541771671513628,0.0275247576628712,0.0691975193254324,0.04430576947914948,-0.09183126076450573,-0.06420535211375651,0.03487147623168259,0.03788502383243836,0.04731669934191685,-0.024605370144651015,0.00876519757563591,0.05220140127312142,0.033020666411102004,-0.013668328210705941,-0.07552754026889076,0.02695987916014896,-0.01834896533081431,0.0056654531479191335,0.06223932350744457,-0.015490979702781077,0.06744476189531745,0.0032885744441448934,0.0664186737262797,0.044486056470925454,-0.020019371951335626,-0.04037621514894145,-0.019928324623529288,-0.06684092377844275,0.017207293356432583,0.04819759718665962,-0.011213357108303594
BHARTIARTL.NS,BHARTIARTL.NS,-0.028115876592234867,-0.004888476896121406,0.030724147416120277,-0.06788697033941357,0.03939913855083782,0.04111888895876518,0.010181441737806,-0.04524814316518953,0.03462394209779309,-0.05143317999898228,-0.04585294779389374,0.044717388995259746,0.06999249725179164,-0.08792787701009655,-0.027797980514647016,-0.027982046675006377,-0.042513602063252144,-0.05507864351955926,-0.07427569082321293,0.003371493933693497,0.019893686617202037,0.03406405595913495,0.03823838727636902,-0.0720185879236909,0.07893346879810141,0.06354935858119587,0.07264042565777318,0.0546293169707941,0.07571448469963359,-0.00906039205126884,-0.06309693846020711,0.04644063865178472
BPCL.NS,BPCL.NS,0.03886727292258909,0.07030371291604622,-0.013754282664286221,-0.05628780545421565,-0.029234854558722868,0.03703114292591673,-0.015267881917354136,-0.011023359953063805,-0.03970882958557218,0.039718111957450015,0.030916356557183246,0.04259528776488355,0.051081617639235695,-0.001522564363166345,0.018956853572114463,-0.06279593193922743,0.06754573287389398,0.04753900669074747,-0.041126093256679874,0.030444706716306138,0.06832853125290417,-0.017693700917683804,0.10007230413561934,-0.04716697011786783,-0.019302424568602723,-0.07658135244921078,-0.02163665035134293,-0.0036075039606094403,-0.09799453917576481,0.050840814679672275,0.04301511738775491,-0.03865182754631852
BRITANNIA.NS,BRITANNIA.NS,0.032390539071910744,0.0057989085566394665,-0.018605914981976314,0.02623075730836456,-0.061870518722676925,-0.05085789113672831,-0.027950629024167405,-0.08426285163902111,0.061976301621758254,0.116784617758495,0.04734738505453224,0.008362196153425452,-0.07213205251386717,-0.013073236583155463,-0.02345830240203346,-0.04723349776915736,0.024698328591334442,0.023315188471437383,-0.026908229970556037,-0.02653502029547676,0.024230196610889196,0.041080900435110354,-0.017698290401085483,0.11902587210374296,0.07274972300090489,-0.001644121279134801,-0.039059743176412684,0.03622101934890818,0.07163952023303873,0.06212605227771957,-0.07601477474143922,-0.0219861522312674
CIPLA.NS,CIPLA.NS,0.030855150717767874,-0.0431142980340512,-0.0910283066877638,0.05316052753727923,0.05296125615497334,0.05929696304446807,0.10099799530941708,0.0012215034897104953,0.0030000667627406237,0.01162023763164176,-0.02704626154169157,-0.01169624457091942,-0.05030264185979174,-0.016998142449809885,-0.058693845945129594,-0.04163795808003089,-0.07405544142208213,-0.09176656063188679,0.04919707205908671,0.020963021020756988,0.016900601426396388,-0.07684840692263287,-0.05079222609311394,-0.046353967021485504,-0.06439879957136524,0.06322055189282774,-0.05647479918948327,-0.01569491156471688,-0.010862785607650862,-0.055189959338448044,0.024430268822811886,0.04735897887289994
COALINDIA.NS,COALINDIA.NS,-0.04147736778867481,-0.08438623696672112,-0.023459923106854595,-0.0625993342575087,-0.07703353038795176,0.07436920068616973,-0.002195110704268073,0.026804388070594473,-0.03786859862405235,-0.013829561012532096,0.014398238219520935,0.01245286797658327,0.03639007435402393,-0.07099811955911911,0.01997862127188906,-0.0021189849123601882,0.07605636243534879,0.01786825289425988,0.00020634086324892257,-0.0812661412867894,0.019382497318969138,-0.07616952070176337,-0.04618711436988301,-0.08419496406441311,-0.0035931578122520846,-0.04946903523996292,-0.005197703048480751,0.09523026190791914,-0.050706379337733795,-0.03247208820682817,-0.045540600263436634,-0.0769498996561235
