Price,Ticker,embed_1,embed_2,embed_3,embed_4,embed_5,embed_6,embed_7,embed_8
ADANIPORTS.NS,ADANIPORTS.NS,0.019454313943115534,0.055547960574242675,0.08960960076738152,0.07706336491245926,-0.1343508678343822,-0.025725963531229967,-0.09114053772519057,0.0927466096372949
ASIANPAINT.NS,ASIANPAINT.NS,-0.13554542710135953,-0.09018677946770698,-0.11380495713510205,0.07896727765680812,-0.10421756615499994,-0.07441739126267044,-0.037744940846396985,-0.09532554468760251
AXISBANK.NS,AXISBANK.NS,-0.07242945983824302,-0.001706665708900944,0.07298139039980912,-0.08924319338727926,0.04370947111930441,-0.14230478735884558,-0.0670295771260169,-0.07530324209356126
BAJAJ-AUTO.NS,BAJAJ-AUTO.NS,-0.014351740131852742,0.06525142142677655,-0.10378676809885595,0.044859822991905704,0.09404838414198109,-0.070019798127416,0.08825901053123412,-0.1627825876710716
BAJFINANCE.NS,BAJFINANCE.NS,-0.11883066717153021,0.01772359262265125,0.09648275708949648,0.02834680028365529,-0.17096003234045232,-0.0037509674616905348,0.09586463584219952,-0.01522629302594293
BHARTIARTL.NS,BHARTIARTL.NS,-0.09702056906813943,0.07690705927375667,-0.026198048003984932,0.13139327510782764,0.01349358144088963,0.17017620657390495,-0.12771606706614028,0.029301057134291323
BPCL.NS,BPCL.NS,-0.02390245197906388,-0.14199089013260383,0.13900645272040044,0.11895749395117741,0.07710068916844773,0.08430842796229703,0.027944634284535745,0.07738596297761284
BRITANNIA.NS,BRITANNIA.NS,-0.13148597438577667,-0.1937972945089486,-0.12686615776153645,-0.04886124561230387,-0.025943896228993627,0.051354837161978535,0.09890897234539682,-0.01802869708235522
CIPLA.NS,CIPLA.NS,0.092864653019903,0.14836125600239491,-0.19040981910785043,0.034287823870631846,-0.039554312403973765,0.10141626448604305,0.05442556345386006,-0.006812825364416943
COALINDIA.NS,COALINDIA.NS,0.015142645176438986,0.10094052654387796,0.05862290487747231,0.07607127617181508,0.205268067254876,0.024909285715674946,-0.09796822235382592,-0.11733156860733823
DIVISLAB.NS,DIVISLAB.NS,0.08916850750627002,-0.006221707373474245,-0.16928126059403656,-0.1595114399838019,-0.06279295382852809,-0.1273985577017308,0.09313860646199329,-0.011881292797438863
DRREDDY.NS,DRREDDY.NS,0.14546302864641336,-0.0532832852874896,-0.2540622812609371,-0.0034010330160826035,0.11656386275348836,0.026203086577933243,0.08964307207794232,0.03340322616193747
EICHERMOT.NS,EICHERMOT.NS,0.01341309476836034,-0.04104121549894384,-0.09629678700749308,-0.023206972195118556,-0.1305532266089374,0.1300113015241027,0.01363293398550236,-0.16458941239528982
GAIL.NS,GAIL.NS,0.1221596048385258,-0.09503026228209298,0.048804889482975095,0.1074429014058674,0.08175015869983039,-0.013440450097632978,-0.14950168801706634,-0.12366051151679884
GRASIM.NS,GRASIM.NS,0.13415931651449503,0.008079319181991779,0.12969257433739168,-0.03100103696269684,-0.029106421990480722,-0.09036007719736845,0.042619912273332936,0.06567034234233728
HCLTECH.NS,HCLTECH.NS,-0.026419387582798555,0.14718780216882038,-0.1697923076795122,-0.057549360088501776,-0.058617264480927696,-0.012384828639021092,0.018885178706431492,0.19466205723757143
HDFCBANK.NS,HDFCBANK.NS,-0.14710807389384423,-0.006669356013717109,0.08354194298917654,-0.06532797152115279,-0.002769828993633661,-0.03585757519387986,0.12656879611701682,0.0009034613615822005
HEROMOTOCO.NS,HEROMOTOCO.NS,-0.03117215165852663,-0.052943740714958075,-0.040118059214099853,0.1964965370292431,0.0907099129066773,0.0053769651074332785,0.11724537589148061,-0.10565042786580625
HINDALCO.NS,HINDALCO.NS,0.17658848377638048,-0.09202350889137584,0.026605092176894607,0.10025687955356628,-0.04027021002922828,-0.06971080367879783,-0.07065214494203038,-0.012867561120207063
HINDPETRO.NS,HINDPETRO.NS,-0.04829315056828384,-0.1465360550090849,0.17472297163146866,0.09421366921632797,0.005345004476123047,0.11608726014807615,-0.02030327790153114,-0.009653298341359607
HINDUNILVR.NS,HINDUNILVR.NS,-0.22198076659910992,-0.04945316265501824,-0.05880769286974924,-0.014813145502011394,-0.10751043376347896,0.14369882472775908,0.02813487887910329,-0.06385376916428596
ICICIBANK.NS,ICICIBANK.NS,-0.06670015865754027,0.10962293175120726,0.1407629888381757,-0.1240515390390189,0.034954340189661266,-0.033301090914588195,-0.0015785084366524336,-0.0751092387058417
INDUSINDBK.NS,INDUSINDBK.NS,0.008394451194703468,-0.07793840446939315,0.13307014306143386,-0.033626156996778185,-0.021233259790853894,-0.09416119382682611,0.14274144576127135,-0.042941345077896785
INFY.NS,INFY.NS,-0.1640058276958727,0.03162175012279055,-0.13519901858762207,-0.026892459083403288,0.015472008412419623,-0.10378908230024826,-0.07817777494473042,0.215773897496153
ITC.NS,ITC.NS,0.04375778124426064,0.041141059416190354,0.04916059033573104,-0.06689812399194965,0.07130967216563534,0.19932013333403675,0.14169683929584342,-0.005318522302309461
JSWSTEEL.NS,JSWSTEEL.NS,0.1123950468624489,-0.1557084492269852,-0.012007384765383015,0.03295751508390704,0.03391821179346116,-0.13368102605911328,-0.05459380585930506,0.0679022910524886
KOTAKBANK.NS,KOTAKBANK.NS,-0.1945831231032656,-0.07578386407054553,0.08933288485807882,0.05063845782199729,0.04545032317899437,-0.12029048635855423,0.06444539171532913,-0.06246933161704569
LT.NS,LT.NS,-0.09864805556541936,0.032835115024010667,0.10135730494461932,-0.03063690246216079,0.021155575881626455,0.05206158169680573,-0.14920961864950397,-0.02574029235543458
