Price,Ticker,embed_1,embed_2,embed_3,embed_4,embed_5,embed_6,embed_7,embed_8,embed_9,embed_10,embed_11,embed_12,embed_13,embed_14,embed_15,embed_16,embed_17,embed_18,embed_19,embed_20,embed_21,embed_22,embed_23,embed_24,embed_25,embed_26,embed_27,embed_28,embed_29,embed_30,embed_31,embed_32,embed_33,embed_34,embed_35,embed_36
ADANIPORTS.NS,ADANIPORTS.NS,0.0014776084315813972,-0.04318674427431007,-0.021986407119367897,-0.0031314243588900967,-0.007353785331709888,-0.007297512126939213,0.04650296698901106,0.03248850230754068,0.06751170607078097,0.06200422038271135,-0.06987249549260345,0.041705179836644825,-0.05691826292840454,0.043033983656720065,0.0021369594770470073,0.048830963599643375,0.04364067160811978,0.04215850284050503,0.01624120714504873,-0.0026981261361669973,-0.04326809739832172,0.006692206383688303,-0.04699938381755022,0.003101584308151304,-0.03472693935648896,0.05374717659808564,0.03528601575175069,0.02714521063481482,-0.024441626222014255,0.0509374357732895,0.06111707469042444,0.0023219955101514275,0.01538312799864057,0.06536121659765684,-0.05040475335778153,0.0163801451568891
ASIANPAINT.NS,ASIANPAINT.NS,-0.03157671588722393,-0.02673298092892687,-0.046079056153048664,-0.0267471234099986,-0.029620882575592852,0.008513173230629938,0.0808621928747943,-0.010361681301119282,0.06058711046686422,-0.04902041298803365,-0.06360879429677327,0.04304878333458832,-0.02887957054415732,-0.038186845446558,0.01234771386268458,-0.08371053805402244,-0.009272297775121795,-0.01849531968341986,-0.024192365255132832,-0.05548111370880321,0.020675781308719984,-0.015220122957951316,-0.05160078545720779,0.10747895486856876,-0.022829044937088375,0.02562192289083847,0.0691401703921151,-0.03495836215431121,-0.022804661748787054,-0.04528533325720112,-0.027229426393612206,-0.0286438523437425,0.020354256897838725,-0.07205322370950247,0.024020722732295784,0.07036700591267056
AXISBANK.NS,AXISBANK.NS,0.02160383701297827,0.005375519875910336,-0.030654961640894186,-0.0023207976208610864,-0.013980345222934022,-0.010702539663605182,-0.047043382225993365,0.03709215285867019,0.016173584495276654,-0.05531481791833407,0.0009185753191642821,0.0209509444358365,0.022651192092676124,0.025493229541290765,0.0074099411954572075,-0.057991172940199696,-0.03302817562784938,-0.019792898055921746,-0.10766180983302197,0.0035064354346837157,0.030680534773127696,-0.04783619624068057,0.014371446622493197,-0.008204355258898616,-0.02650841594795518,-0.02253485430841002,0.07972238827201591,0.015851055348181885,0.051598336879996265,0.01904561029478263,-0.04823984104819099,-0.008605135186776159,-0.0018067340840920423,0.0506675577527448,-0.07472482190083679,-0.027473078123694105
BAJAJ-AUTO.NS,BAJAJ-AUTO.NS,-0.0720944731824236,-0.005884878306512299,0.009467158438882848,0.00026270201953569253,0.005260707469652798,0.03105442895086419,0.0134412469121938,0.037381260961095654,0.033454644450733546,0.0401640870018222,0.057945814332416405,-0.02239145649394862,0.023992044139915538,-0.028384110696479618,-0.044042261456653894,0.0020702044672139502,-0.07391596153744315,0.0529420563184867,-0.0036510777592350914,0.03989610129938786,0.007912994115971154,0.05685308744712635,0.013556565696754615,0.02912104343674926,-0.06303812152481068,0.010364803132152043,-0.07077841509541108,0.034502482572730114,-0.009999157145495388,0.017448021128358505,-0.04668409504679318,-0.05471084815519955,0.01915759796436297,-0.0945656894665167,-0.038141288171070514,-0.09599728234561052
BAJFINANCE.NS,BAJFINANCE.NS,0.033008579443299275,0.018238813756779774,-0.043071107146169275,-0.026015727733492592,-0.03424022375870627,0.04978339076685977,0.008134415853295931,-0.03663561613548739,-0.025488393379152534,-0.0809057264819677,0.0015287307378878056,0.019422942338079924,-0.026006876974225105,-0.0846202925896036,-0.09012349004439138,0.03466433388571967,-0.03184399322165849,-0.012118908463000322,-0.010014448767177261,-0.01670023954437143,-0.06486286967377575,-0.031653268363332036,0.014891218197444892,0.0751832480410622,0.048288303325936824,0.00013244710258963685,-0.0479866557120245,0.051530138745265276,0.06396629284869026,0.006385318474520482,0.0378707183050076,0.001977994597366686,0.0366450716866309,0.02253557198792167,0.042469316003130246,0.011585122304716325
BHARTIARTL.NS,BHARTIARTL.NS,-0.08190216359612121,-0.03537459055661352,0.10594359557966569,-0.05886676881718749,-0.03673343285483686,0.01562820359484597,0.00870741726675813,0.04212329388809149,0.050949782790841856,-0.05363936691071249,-0.046653642377277954,-0.03501398641211981,0.04333297863728123,0.03192254102210828,-0.00473238965915635,0.0614932772934367,0.04641589862168237,0.05944678150384247,0.06164227117272569,-0.0170696050682827,0.024014248484159194,-0.019513556453900096,0.06556310644145144,0.02939570619530497,0.05204019611790004,0.011661622656798881,-0.03425270654860527,0.012234832619406827,0.07979502861930468,0.05748027399296639,-0.05739879323142581,-0.036222953600318165,-0.043182399354248266,0.04201999912979507,0.010896432686876604,-0.05577474412703605
BPCL.NS,BPCL.NS,0.016087979114413505,0.008852151583385967,0.038499616072268115,-0.024320128992573374,0.012934036642558815,0.011261579471563263,-0.04395713395943632,0.03368673550989657,0.05216451651964916,0.036673643995769174,0.03243470583392037,0.045622269232723126,-0.038186016994767515,0.024532463689413683,-0.07187052152828935,-0.05103804160595786,0.09092583792449935,0.04233502290946202,-0.07876084886676345,-0.04633317823820733,0.0012686707524880228,-0.009535758295451236,-0.00441425714108435,0.027971213570451157,-0.02233072685114442,-0.04045729960975204,-0.014220042767235319,0.03664736559731117,0.03060880769256714,-0.04750461312426537,0.06663546795766379,-0.08223787536960253,0.06391862990962649,-0.022273131916208184,0.07248087492687338,-0.06505775714077273
BRITANNIA.NS,BRITANNIA.NS,-0.06579317792050829,-0.037082993605289764,-0.03367626910743413,0.06158194742132319,0.10810347769231991,0.051818518803710904,0.0006103923962630908,0.04399823402046466,0.05828887934085135,0.012991080823795707,-0.002831586889417511,0.022523239794336333,0.01078970696995655,-0.08703750430643133,-0.0034379588858111654,-0.06996132383378846,0.01686109746234235,-0.09666367282897623,0.024383087803169112,-0.007399594021250793,0.006031543244551473,-0.06560221640809996,0.023395415768517686,0.025457118794405497,4.405430030896726e-05,0.022540559663108334,0.029080129685981174,0.06025462401002697,-0.04075612016650106,0.07182438017822083,0.012633970319414007,-0.05000766726744432,-0.06777356947335952,-0.06280959529246892,0.05712042194153821,0.036240498364512416
CIPLA.NS,CIPLA.NS,0.003178759109241935,0.005074264273667611,0.013790614799370852,-0.05173807459158897,-0.017404029936763432,0.0038755133271301295,-0.044338086139775426,-0.014167177633385666,-0.02212275089370023,0.04136708075384018,0.06306937291699712,0.07377073339311278,0.038521805580640986,0.015122148211879183,0.04643980035401682,0.04433852926078508,-0.06264948668901102,-0.01494849404736332,0.07771871671440798,0.023618493494283643,0.018219620251812986,0.007771662444992058,-0.052962949534687866,-0.029625869381622382,-0.011857213402551477,-0.06115292333033079,-0.058104057232929045,0.0820755697236351,-0.08938458686553284,-0.0015826917898956675,-0.05180207459715113,0.10827785031657321,-0.04830134687722549,-0.07382675894684596,0.033737745598146164,0.04218620007994965
COALINDIA.NS,COALINDIA.NS,-0.04150696852136276,0.03515323583655218,0.025037612932429842,-0.05709054120966557,-0.07569750712450364,-0.08196438646766203,-0.009887239346784947,-0.0015895433390605827,-0.05207035094545728,0.02131009618483939,0.06119251276749314,-0.05150106126725461,0.0386624821152666,-0.03936216902549085,0.055087556725084245,0.05456834672421867,0.09694622450428216,-0.04018287706067854,-0.07200521212181885,-0.033171747786646166,-0.03957822081940566,-0.004671804901363764,0.06779895718458645,-0.05948715730686783,-0.061205270904238405,0.028289387460862108,0.004841832294748227,0.04372773406390966,-0.05513832306746232,0.020169494082957838,-0.030145310275914966,-0.027636660652616322,0.07324590731180335,-0.03892613563185226,-0.03540667818347412,-0.02736835286538109
