Price,Ticker,embed_1,embed_2,embed_3,embed_4,embed_5,embed_6,embed_7,embed_8,embed_9,embed_10,embed_11,embed_12,embed_13,embed_14,embed_15,embed_16
ADANIPORTS.NS,ADANIPORTS.NS,-0.005901762535407751,0.06993456150944558,0.020550660565527745,0.013930306111367356,-0.03240672480709964,-0.11974805593060396,-0.119836430921856,0.0377762977779474,0.034237861201843516,0.0338162636874168,-0.031477091658818915,0.08746708259866721,0.08703920082885983,0.009698329925526413,-0.011986796875775585,-0.03088466327170916
ASIANPAINT.NS,ASIANPAINT.NS,-0.06576613939300828,0.061451317578931394,-0.038396299101451044,-0.041286275964710975,0.051032347203554596,-0.026840366339454528,-0.07938946182515831,0.009754851900251474,-0.060763098374548616,0.09713973891555829,-0.12482104472494655,-0.050673380581331785,0.01351802891327924,-0.1350034085822437,0.04161941926684216,-0.058830974885092785
AXISBANK.NS,AXISBANK.NS,-0.030496549418375037,0.07070977238186911,0.035192436326743064,0.041255996753354854,-0.05663558403017034,-0.07810793627141505,-0.021958772397140013,-0.040096648404009415,-0.07939813022762557,0.015416183389664911,-0.010216059552700957,0.07103344984886943,-0.08203509615750043,0.055739237366984974,0.0806112398948264,0.06159164129231293
BAJAJ-AUTO.NS,BAJAJ-AUTO.NS,0.027053538254873492,-0.05373659545252058,0.09969926754432261,0.011778232682814159,0.12063949927742744,0.03340086344702965,0.06156039032181975,0.10028433459725061,-0.08409556459565845,-0.09065132463824319,0.0089492387484345,-0.02710202575791215,0.020915931441929818,-0.017157353759351634,0.059872297421387874,-0.060461298160074305
BAJFINANCE.NS,BAJFINANCE.NS,-0.017326249229598238,0.028857281564000595,-0.07114230493416714,0.07839949565574583,-0.038420193882906746,0.11720734315454308,0.0140776926293873,-0.040314766899381786,-0.09658262545296915,0.07660595512518432,-0.008809907787794027,0.03592478484606171,-0.0013581701612297437,-0.10586245825092308,0.01604951234077052,-0.07194092838775486
BHARTIARTL.NS,BHARTIARTL.NS,0.11413406125102694,0.041253768761517366,0.01602459534092862,-0.13226134195620057,-0.04075213281718191,-0.09226092046846833,0.05401458378484285,0.010190245229183935,0.06471721670527143,-0.03867098764939946,-0.06430105780712927,-0.007155406929283892,0.035399272403459595,0.10859256180499004,0.0986537166655971,-0.06480351544645659
BPCL.NS,BPCL.NS,0.0857954122230348,-0.005472938976553784,-0.0892909044287064,-0.024179402846815516,-0.0030648450383851927,-0.026871319957450922,-0.055322833918679794,-0.026314738706506635,0.021672079383302317,-0.00831347154172646,0.084483762798879,0.095807717733388,-0.10018847737418253,-0.09880415958070458,-0.07079882747870338,-0.10887962709257007
BRITANNIA.NS,BRITANNIA.NS,0.05748671632095767,0.07020482384561326,0.0814205432681743,0.05050315597544166,0.061256840828865816,-0.0035610755228585333,0.08211343431847204,-0.00559848554460763,0.06339355048839877,0.12210415925892423,-0.11870124583837365,-0.08817315135064731,-0.1201830024512341,-0.04303195657824129,0.00047299707883141336,0.04880862368763725
CIPLA.NS,CIPLA.NS,-0.15202403138711926,-0.0009158317891232835,0.0862074536445469,-0.10978859262057178,-0.08248978132207728,-0.034561674494326164,0.1214748445679194,0.021393387996949693,0.012201078602825996,0.008872051242110376,-0.02000836844235572,0.019452947260937416,0.11460028054422702,-0.05577312749403671,-0.03061196554153671,0.0012955374778540892
COALINDIA.NS,COALINDIA.NS,0.0401420238570939,-0.08691334980605171,0.04063473277013775,0.015587961810911656,-0.021335944673659277,-0.03611391320529802,0.12741555274463034,-0.06747835206713183,-0.05361848782132566,0.028017150617892374,0.18827941930854658,-0.02843312790779023,0.050280973670595024,0.0819334040453066,-0.04152271755002073,0.02357067870943829
