Price,Ticker,embed_1,embed_2,embed_3,embed_4,embed_5,embed_6,embed_7,embed_8,embed_9,embed_10,embed_11,embed_12,embed_13,embed_14,embed_15,embed_16,embed_17,embed_18,embed_19,embed_20
ADANIPORTS.NS,ADANIPORTS.NS,-0.055396576208894724,0.029894437100546463,0.07328271825299627,0.03769691531694697,-0.02483202559171713,-0.08609393785662364,-0.0876773327290265,0.0691331543157926,-0.004191810001846739,0.03729846514378993,-0.05290857137824931,0.01615815934247346,0.05311489642954979,-0.04733431356263483,-0.06437298519038868,-0.0947278582022358,-0.03391095877993773,0.02459994131332481,-0.03286863238598302,0.003015440195143416
ASIANPAINT.NS,ASIANPAINT.NS,0.07829684578684089,0.015770148556720296,0.022359041214243015,-0.06006418366028878,-0.01751262106887078,0.013848134169560192,-0.11854216486772651,-0.04175933334597306,0.07497983375502154,-0.1079627674436037,0.05284943635694488,-0.07271424550641141,-0.044110397258250444,0.07509190229881879,0.04257993343307939,0.02024085497909064,-0.07404075289097238,-0.08396522420642101,-0.0037387403108158595,0.004238439813374243
AXISBANK.NS,AXISBANK.NS,-0.02098270216012871,0.03662643718890532,-0.06757100400947633,0.08794351762328768,-0.02076680317187771,0.01657721645306868,-0.034228987808409266,0.03440312938934315,0.007692755737383144,-0.05351504393073481,0.04823373415580814,0.03959038832177086,0.07677157486079207,-0.006717747594374407,-0.03336788620949026,0.05693341743785757,-0.0537194065715339,-0.036673989420977646,-0.11337282365841607,-0.02197954227335736
BAJAJ-AUTO.NS,BAJAJ-AUTO.NS,-0.004715260204115724,0.00504440972602074,0.08829925654130281,-0.04782838626948998,-0.06490395935033001,-0.024774103974325012,-0.04920271274021383,0.029941336367526064,-0.1024348350198272,0.10111444194436701,0.0999874410497428,-0.008491208980994914,-0.03786315153787499,0.016706788654982287,0.016831103216872426,0.05674870515901029,0.04557230520568154,-0.08505529321473106,0.012828864494467025,-0.056587741365184775
BAJFINANCE.NS,BAJFINANCE.NS,0.0600644024903387,0.0649873739619759,0.031400966233377334,-0.06337960575391652,-0.017156437238953097,-0.04579104483175958,0.04411354314202407,-0.0077032014659353335,0.10201999860992503,-0.039786379691285026,-0.07357449190601008,0.02572785513764639,0.03977831604515314,0.028388955773310076,0.09392282414181743,0.012555265255479906,0.012763846355570018,-0.021473095649412983,-0.11722871914878628,-0.04427217664827201
BHARTIARTL.NS,BHARTIARTL.NS,-0.08963769587564771,0.027751180899124168,-0.02681637046783437,0.020788913405961264,0.07472438173578819,-0.06446148013809083,-0.05957978516205015,0.06763215887325641,-0.02060370734567832,-0.06747970713093265,-0.03983949647428169,-0.0804441045943109,0.12156864382519766,0.009292712232385519,0.05246992277153435,0.1157546626212007,0.06181024521616678,-0.0324017630489225,0.07469864838527789,0.00863802271282616
BPCL.NS,BPCL.NS,0.006266490461249905,0.13063210161227365,0.00809167157225383,-0.06327257202041489,0.014422261716113877,-0.003660379748169158,0.05883393987515771,0.0428577200308254,-0.0369205336467835,0.02203735221489773,0.036595370092924406,-0.06300971962435244,-0.025022082265867936,-0.03476570723444468,0.040802208563536245,0.005966186395498718,0.028086859479477217,0.048994275380405954,-0.0553299528152479,0.17536642193517712
BRITANNIA.NS,BRITANNIA.NS,0.11822568252268294,0.008365484760217317,0.09403377788570773,-0.02975993604403119,-0.05854529031789611,-0.09294762231450351,-0.015699764532155568,-0.07309833189358092,-0.0031886500576501684,-0.05896213859453596,0.11366748482217581,-0.04544802436942478,-0.052063961944713015,0.03346971786173197,0.11034541387552348,-0.04445279429712346,0.01370326108798893,0.061105758174527056,-0.04761264234425192,0.055114439713360434
CIPLA.NS,CIPLA.NS,-0.012743328645449595,-0.04005401352579448,0.022011128856546984,0.06382450622368649,-0.09656299201240909,0.05429394078796143,-0.016281198221592325,-0.04859104739787493,-0.12381254919973231,-0.021302491922877604,0.028429057741806422,-0.12035697794098706,0.018759883476147966,-0.050354091757756056,0.015173663126910247,-0.06258725795246393,0.027806682186721547,-0.027001333624992217,0.12457414709163711,-0.09009471261814271
COALINDIA.NS,COALINDIA.NS,-0.039446284183160624,-0.05365354689839828,0.08555834513157372,0.05904263031925653,-0.0717607611481634,-0.003211107363737627,0.11202023203324797,0.007622637392691528,-0.038036532146644535,-0.024214240383330067,-0.0402874508285079,0.08725106512842339,0.13706319972273392,0.004755323092330878,-0.029021717905349315,-0.0525145255649813,0.07483719943164313,0.0374673639684714,0.04521715450508855,0.09573040090753424
