Price,Ticker,embed_1,embed_2,embed_3,embed_4,embed_5,embed_6,embed_7,embed_8,embed_9,embed_10,embed_11,embed_12,embed_13,embed_14,embed_15,embed_16,embed_17,embed_18,embed_19,embed_20,embed_21,embed_22,embed_23,embed_24
ADANIPORTS.NS,ADANIPORTS.NS,0.043060095908711835,-0.05779499736401935,-0.03596278210265212,-0.008403896552973623,0.05220143611531783,-0.10051735265068504,0.05120106965824991,0.07032733287031452,0.010844176476556004,-0.06868015997937899,0.09046207078933163,0.008462781769293255,0.005662456203529963,0.011932589609813065,0.02076708789813095,0.03984107012604891,-0.008121537955529558,0.04713713442741854,-0.010331750477667594,0.04168477899579306,-0.07216762939745007,-0.04833404761214453,0.027628488876973376,0.03688384186763944
ASIANPAINT.NS,ASIANPAINT.NS,0.07164215941737846,0.02062543055778233,-0.0019750861086729053,0.042517725840330776,0.09150211307642712,0.0496737749504741,-0.0038259331655920966,-0.05194935547235213,-0.06001234535010125,0.11211293044164544,-0.011591026311826276,-0.06817003331348992,-0.010444443116009696,-0.0503106694523302,-0.04214965826179554,-0.03142882886473412,0.06781403404817715,0.010465565466523514,-0.050292781706207504,-0.0670173255264218,0.05817826510277261,0.029054865329841684,0.039662597097813966,0.10224204894947968
AXISBANK.NS,AXISBANK.NS,0.04750550159400394,-0.03586380669229818,0.020257059920141977,-0.05267903609976962,0.06411247662201047,0.03419514620357581,-0.010013153991879683,-0.04183306224158066,0.006260705706424921,0.01630431761525464,-0.04358975207647749,-0.0073767861116217776,-0.014775900453567858,0.03591948975792889,0.019493175401965362,0.09798211855588819,0.05108047346366336,-0.05383345648536385,-0.09192488561427319,0.05101671052340908,-0.0027093560059135834,-0.04409879119962903,-0.07835723580463735,0.004279149265423729
BAJAJ-AUTO.NS,BAJAJ-AUTO.NS,-0.06460642033914125,0.0751166044115007,-0.043026858596452666,-0.008443281769219043,-0.07734189774751943,0.054745499744836626,-0.04580735193659852,0.007040707325943967,0.06552383462847772,0.032344786065681974,0.06730564270037852,0.11427577422301491,0.04241398900688569,0.007588894242440853,-0.029929866093168406,0.0015685849570676183,-0.009629511021861117,-0.038666846981921396,0.06523211900168162,0.013090989930950104,0.0364624430843132,0.058410395545031614,0.06078605645583547,0.061433993000674265
BAJFINANCE.NS,BAJFINANCE.NS,-0.02033395604344317,-0.07172568292100898,-0.04979005307777263,-0.05854298433696451,-0.05057044132541825,-0.006580163021463195,-0.007552365432222812,0.04342933920486348,-0.028578339640701757,0.045672286816413096,0.0036158474385591145,-0.09110479994971085,0.051184428101876026,-0.003516748515269673,-0.02645575681369472,-0.07128127649569391,0.11636987933110805,-0.020083917620952303,-0.021415092918565658,0.03988509089096498,0.06480207181933462,0.01280114839722582,-0.0014308936562795382,0.08252104453003621
BHARTIARTL.NS,BHARTIARTL.NS,0.055423172950764474,0.01835263934478108,0.01836638382594357,-0.0477914455467268,-0.0506065847883689,0.014417355395759252,0.06355161602042123,0.07981946383116055,-0.03147811219429464,0.01917210825111128,-0.03908476523513405,0.12242490173658782,0.10395816172906598,0.03688784307693616,0.05714641292194183,0.04622419896652125,0.004599219060207382,-0.10486262799328264,-0.03985242377353028,0.012773197990863868,0.03218447181474217,-0.02987410463283762,0.09204214132876128,-0.06857324204993896
BPCL.NS,BPCL.NS,0.016291897034647836,-0.003083643860628165,0.0170260296007098,0.07841162663474471,-0.06645961337787601,-0.06354483646977052,0.04229899066616948,0.038965176952238854,-0.026658694330301918,0.048342314963478454,0.01363928094346995,0.027857040256694113,0.07789302561061123,-0.08419269786315182,-0.13148066128782485,0.0419898584398158,0.019464044234694233,0.031746913742326244,0.04326949049716847,0.10344192314806523,0.03611177802072168,0.037449997721660785,-0.049579068045808854,-0.030575816499264916
BRITANNIA.NS,BRITANNIA.NS,-0.07964063885702118,0.011017782709645683,-0.08274327430715284,0.03392733850971536,0.03568917904675849,0.025315456932771166,-0.044285395588047685,-0.07437323824052725,-0.08440374191404136,0.060265053850171814,0.005716144567387485,0.012336746752554289,0.07481307687955145,0.060592816940294725,0.010419561576951866,-0.09188930221960367,0.06399065812615057,0.08383238051740932,-0.04296620936688942,0.0835933790407559,-0.06988606554674773,0.05161526914966122,0.07611701278207397,-0.024149135519920876
CIPLA.NS,CIPLA.NS,0.021149793856579092,0.03282371105876716,0.09877008656761364,-0.012220105665841044,0.027594706697191454,-0.06535991989026566,-0.03692299789977689,-0.08469361046170196,0.07410918032639638,0.049611371044198216,0.021173736706163616,0.08045937099033412,-0.06387225986322237,-0.015162221048989594,0.050238234332293956,-0.026815842793346138,-0.07642045067559285,0.029870024614181277,-0.035466423699239455,-0.031243938114757036,-0.08235911980368908,-0.046496021301090595,0.12753193918508876,0.05514842226257647
COALINDIA.NS,COALINDIA.NS,0.05138582504534895,0.011090493948198284,0.006820086396180182,0.10308125206949735,-0.0702920069229803,-0.04350751302804086,0.002023891362118483,-0.07076877190283783,0.005136434299636266,-0.07566273070827845,0.05084544004203927,-0.06137068904334216,-0.059158367377644794,0.04015992370216434,-0.049323759512175165,-0.004820658544519116,0.06884307669928628,-0.09068799371359329,-0.054498258959978604,0.031032888210466562,-0.09164343068830082,-0.01893167199298705,0.06664924681073553,-0.10249483658857667
