Price,Ticker,embed_1,embed_2,embed_3,embed_4,embed_5,embed_6,embed_7,embed_8,embed_9,embed_10,embed_11,embed_12
ADANIPORTS.NS,ADANIPORTS.NS,-0.06428484680248221,0.16882151756042804,0.003992100325721226,-0.040952472684915385,0.008785536706267118,-0.05438215429602157,-0.07318773633142815,0.03587736330326384,-0.030202487865269644,0.029015568056061435,-0.07198748730416768,0.05776243154321992
ASIANPAINT.NS,ASIANPAINT.NS,0.16714090623784367,-0.07175618371994459,0.07882090160691138,-0.052751626440632055,-0.04984857482324746,-0.06263869632096519,-0.01968394107472306,-0.05866945671047779,0.05335802361801383,-0.10148114242766015,-0.06637031224350827,-0.07111463301645628
AXISBANK.NS,AXISBANK.NS,0.10677949304416072,0.0390931124294163,-0.03772214646109059,-0.01837948256833018,0.031745897313500734,-0.09505874588040941,0.03959545584788434,-0.07080567558444587,-0.046673331105926204,0.07911555485783407,0.08666419028072102,0.06602689738300707
BAJAJ-AUTO.NS,BAJAJ-AUTO.NS,-0.08011097061645062,-0.12719837489777275,0.003365281013329797,-0.008520417636807573,-0.0867165171077643,-0.057109023664142486,-0.13018066055171118,0.05365498913493596,-0.09470341118396138,0.012659468281530934,-0.024819931215296298,-0.054884683770544375
BAJFINANCE.NS,BAJFINANCE.NS,0.08499762830584706,-0.049115355498711266,0.16048398730693703,0.04553952586382812,0.09685682521455041,0.04414110806971672,-0.0007037674442154483,0.05649656911506715,-0.08212483487913227,-0.028816006870376557,-0.02356426051069307,-0.046904978239845664
BHARTIARTL.NS,BHARTIARTL.NS,-0.051513925616727456,-0.0404954894047178,0.06605364218718324,-0.10273438152034428,0.013466044327819846,0.04984761856032161,-0.041516334268551794,0.006330203714907442,-0.15202489538182629,0.1878033317602311,0.00885542665088022,0.0074797727439724565
BPCL.NS,BPCL.NS,-0.07858188308863798,0.05356777045296332,0.0030131600438088584,0.08562624498564234,0.0775318899538194,-0.13786911386479178,-0.04741348740049188,-0.03901492271535673,0.0048274693823392965,-0.025202068450313985,-0.03371788644245,-0.16709794434740916
BRITANNIA.NS,BRITANNIA.NS,0.02252741291989734,-0.06458217856251279,0.16377805754589653,-0.006489095510439441,0.04147839722150495,-0.004251732293003127,-0.14025185983357846,0.07699455920731783,0.1278880200584949,0.010538712619533283,0.10189960729007752,-0.027833381465559262
CIPLA.NS,CIPLA.NS,-0.026806671896633535,-0.05104895149226032,-0.09165359451262599,-0.11824779081924847,-0.1771432934852931,0.06271126665155094,-0.03658209050346489,-0.01901959258093493,0.05952813591733428,-0.04104455915196328,0.07221810109503483,0.10275248123047873
COALINDIA.NS,COALINDIA.NS,-0.08839631751913624,-0.0750776025918563,-0.12671814499066544,-0.08164235901952602,0.1268726929176507,0.07835696069711871,0.019051492755809134,0.08142951697076281,-0.04221327444189484,-0.01930769774322767,0.13351250520609848,0.008335391778906168
DIVISLAB.NS,DIVISLAB.NS,0.10425136199942625,-0.04069862855401366,0.011910926684597974,-0.14929038101867598,-0.1684177295753677,0.03539724768405585,0.07039554768820402,0.12101590330152112,-0.04210338950840173,0.037231800976524634,-0.05094247101780314,0.03343426935616615
DRREDDY.NS,DRREDDY.NS,-0.14275009815420464,-0.10568758951863554,0.04954391652005105,-0.1363438410580396,-0.07716271792644808,0.12521776343142102,-0.04474081749906813,0.10973568050900273,0.12571150301808,-0.07758609010171873,-0.04139025616374557,0.015355163749583222
EICHERMOT.NS,EICHERMOT.NS,-0.0314556516136367,-0.14569338400302254,0.09343798787893925,0.019867184368453507,-0.06368576664667928,-0.05173664028225766,0.05759493090170647,-0.026730450442722587,-0.033248015400513836,-0.06738824897423393,0.15663605645344963,-0.054360856869814206
GAIL.NS,GAIL.NS,-0.058085157989064794,0.10074746708251997,-0.14567188479595045,0.08507307027897978,-0.016504740603509035,0.05283572020927019,-0.012614703060044079,-0.003765459109886542,-0.10808577828274549,0.09577767134085477,-0.05909822045538434,-0.11746703690535187
GRASIM.NS,GRASIM.NS,-0.045680164730744884,0.059025294270853616,0.05529588602149567,-0.08360491438430313,-0.006364904522999643,-0.032644179455254406,0.1301118665016221,-0.11228839442018984,0.009377067774057016,-0.0475904861930773,0.041492437930766596,-0.03541164513063122
HCLTECH.NS,HCLTECH.NS,-0.038993609388337964,-0.10544642463881351,0.07244322023735557,0.10596984210473599,-0.09244362680147016,0.045890148454333604,0.010444623924705566,-0.020386744570692103,0.05403648934094871,-0.037053627756050485,-0.0926130954531034,0.20693714930310325
