Price,Ticker,embed_1,embed_2,embed_3,embed_4
ADANIPORTS.NS,ADANIPORTS.NS,-0.1761864849613336,-0.05074903819494843,-0.13614532072395885,-0.04624817024146331
ASIANPAINT.NS,ASIANPAINT.NS,0.0038714967965592473,0.3104523882287949,0.01479919111806328,-0.003269204353811639
AXISBANK.NS,AXISBANK.NS,-0.23070127150576794,0.05095190425730016,-0.1694056560769665,-0.07340308801253038
BAJAJ-AUTO.NS,BAJAJ-AUTO.NS,-0.04662320806728109,0.05316078393862002,0.16518269934337407,-0.05954311875976647
BAJFINANCE.NS,BAJFINANCE.NS,-0.16436685324291822,0.2512079775437423,-0.03639436577844324,0.04510433069324043
BHARTIARTL.NS,BHARTIARTL.NS,0.022107693548494033,-0.08117372061301784,0.03465667454893371,-0.036835128007233965
BPCL.NS,BPCL.NS,-0.1752927151959889,-0.017457983672350547,0.16853937293950705,0.24471547012851452
BRITANNIA.NS,BRITANNIA.NS,0.11005054030043315,0.29494080142778006,0.21269739600084256,0.00044828967431673417
CIPLA.NS,CIPLA.NS,0.23814824258216336,-0.0919212721400246,0.08918064325455173,-0.240339023548702
COALINDIA.NS,COALINDIA.NS,-0.04007536102233741,-0.28303034056535553,0.2008978232168703,0.04326023570688424
DIVISLAB.NS,DIVISLAB.NS,0.2491629034316503,0.09061899346298806,0.0505695325313888,-0.25139735860674706
DRREDDY.NS,DRREDDY.NS,0.4087273105590709,-0.05545723489969154,0.21371354380011576,-0.26320787263660855
EICHERMOT.NS,EICHERMOT.NS,-0.06396335402666599,0.11686458553619093,0.14843375249106677,-0.006114470107039028
GAIL.NS,GAIL.NS,-0.042351170946944246,-0.25916288954019584,0.13612198863735644,0.11525235834850314
GRASIM.NS,GRASIM.NS,-0.22706401276488178,-0.05042751379307111,-0.17352787856087673,-0.0869995500776971
HCLTECH.NS,HCLTECH.NS,0.5077185656485256,0.012792120320105285,-0.12228183104490083,0.09278384813703727
HDFCBANK.NS,HDFCBANK.NS,-0.23604425651567065,0.22499880841629563,-0.10431020182580056,0.02682496801468076
HEROMOTOCO.NS,HEROMOTOCO.NS,-0.044775142292834,0.10749148607337614,0.20960076076152273,0.025027785452824303
HINDALCO.NS,HINDALCO.NS,-0.07639003261738794,-0.2510077963045404,-0.09087373694745196,-0.01842679886529901
HINDPETRO.NS,HINDPETRO.NS,-0.2163952554521687,-0.006926095508653823,0.21217086232333277,0.24195780005324963
HINDUNILVR.NS,HINDUNILVR.NS,0.14219660863286038,0.31382168871015365,0.14180138287301078,0.03806350397463882
ICICIBANK.NS,ICICIBANK.NS,-0.24127469923661274,0.013234969099863663,-0.15656343802984996,-0.08831956812854934
INDUSINDBK.NS,INDUSINDBK.NS,-0.2570675325856216,0.12605463187206076,-0.028470318982811507,-0.013912079241090702
INFY.NS,INFY.NS,0.572248785620232,0.07628617075389638,-0.15838365214421923,0.12582100867130128
ITC.NS,ITC.NS,-0.068879099263081,-0.020861243913461815,0.10884706376182796,-0.04596244019235678
JSWSTEEL.NS,JSWSTEEL.NS,-0.05221212252664993,-0.1264984387114874,-0.10739066956052705,-0.11287886462979534
KOTAKBANK.NS,KOTAKBANK.NS,-0.10584007465856007,0.203423378529756,0.045332166825940635,0.06442052052383034
LT.NS,LT.NS,-0.23075974801053778,-0.03233873838646503,-0.17809520753751062,0.01745744521520884
M&M.NS,M&M.NS,-0.08517918882481341,0.06628465732087839,0.0621904975058028,-0.01130069684242973
MARUTI.NS,MARUTI.NS,-0.08487631865146611,0.20137195469285502,0.133245560846024,-0.008590126347367059
NTPC.NS,NTPC.NS,-0.10644204863799361,-0.2849223633583349,0.044230826653926573,0.05964762225898791
ONGC.NS,ONGC.NS,-0.0005467759220236031,-0.38790410421315996,0.11301338631862655,0.09933231604856903
POWERGRID.NS,POWERGRID.NS,-0.05203133796018563,-0.2358582429105531,0.07548323660506683,0.13825250671224154
RELIANCE.NS,RELIANCE.NS,0.029333229483874353,0.054321768640298855,0.028747767343964666,0.03779505353224407
SBIN.NS,SBIN.NS,-0.3084530611349156,-0.04308126315731104,-0.10159909477216243,-0.04647460366291918
SHREECEM.NS,SHREECEM.NS,-0.09251362339927859,-0.018161346671727426,-0.08167153286333295,-0.0465277143468414
SUNPHARMA.NS,SUNPHARMA.NS,0.32868348125492564,-0.18111480202303756,0.08148615601587578,-0.24146473822571252
TATACONSUM.NS,TATACONSUM.NS,-0.10501983460910043,0.07945450028526406,-0.06019535825613332,-0.053457722675640175
TATAMOTORS.NS,TATAMOTORS.NS,-0.06744339748406773,-0.17045384364993893,-0.01807312190505185,-0.054546336463017896
TATAPOWER.NS,TATAPOWER.NS,-0.11911950883590544,-0.1527378311609338,-0.15567887284994483,-0.004142785136094094
TCS.NS,TCS.NS,0.41705841638389063,0.053998479003179084,-0.14956965264749056,0.14507105493794226
TECHM.NS,TECHM.NS,0.45249649928578384,-0.02802473518975722,-0.17372150522594984,0.16579225554305024
TITAN.NS,TITAN.NS,-0.046308082708035506,0.14877301211854893,-0.14711447529824512,-0.016639454821645076
ULTRACEMCO.NS,ULTRACEMCO.NS,-0.15024420634592284,0.002565727962452074,-0.1438727903722857,-0.08016078298808019
UPL.NS,UPL.NS,0.028647769105958138,-0.00010340773349429324,-0.02279726556467476,0.03369708176150681
WIPRO.NS,WIPRO.NS,0.40398823677252765,-0.023696541882884805,-0.1748063387484043,0.1494362415296663
