Price,Ticker,embed_1,embed_2,embed_3,embed_4,embed_5,embed_6,embed_7,embed_8,embed_9,embed_10,embed_11,embed_12,embed_13,embed_14,embed_15,embed_16,embed_17,embed_18,embed_19,embed_20,embed_21,embed_22,embed_23,embed_24
ADANIPORTS.NS,ADANIPORTS.NS,-0.1761864849613336,-0.05074903819494843,-0.13614532072395885,-0.04624817024146331,0.03743136053248681,0.06681453829210417,-0.05800181588119486,-0.044936134989169645,-0.03426266459849383,-0.03220775901991371,-0.04091323714944912,-0.11554024716909331,0.00635627627418654,0.004009833548728505,-0.17086725069541242,-0.0014337838169993667,-0.012649595261828257,-0.0012137030672076385,-0.06302746183752647,-0.05349068394432769,0.06820454544105012,0.009667790757737493,-0.09230742319315333,0.021006272314441136
ASIANPAINT.NS,ASIANPAINT.NS,0.0038714967965592473,0.3104523882287949,0.01479919111806328,-0.003269204353811639,0.11599878962171396,0.011123474578299045,0.05488996837612659,-0.003045175124241579,-0.03591250372584799,-0.002814394190326302,0.016824257322735025,-0.04382606294405658,0.05978612256029152,-0.09149536478280611,-0.1310509248803958,-0.036390807477480615,0.07566479948223521,0.06575019464006465,-0.015766819600958902,0.043090530216900624,0.08373836632516858,-0.10342406612688239,0.049195346951574306,0.01898428202174066
AXISBANK.NS,AXISBANK.NS,-0.23070127150576794,0.05095190425730016,-0.1694056560769665,-0.07340308801253038,-0.056287438187526906,-0.10911977872548081,-0.06761982592765031,0.07219462746457626,-0.02603525501507388,0.02222939433433913,-0.02266532197383904,0.04335746181976417,0.026601633244610786,0.10017631118965176,-0.051959861147225644,-0.030839346057395394,0.036437583507598945,0.09457634304930713,-0.02554245350970848,0.027352109733694212,-0.0038670518447956174,0.028166780565257774,0.082159790376763,-0.016206249123294974
BAJAJ-AUTO.NS,BAJAJ-AUTO.NS,-0.04662320806728109,0.05316078393862002,0.16518269934337407,-0.05954311875976647,-0.17845407201866847,0.07495799890540276,-0.04982373848778397,0.04870279306672794,0.06095675787421168,0.04141047083249312,0.08971453735698279,0.003473523571048215,-0.09987538356537996,-0.03618143485855303,0.07597233697328784,-0.06570686114465835,-0.017948656277294316,0.05609581163777855,0.014712662592333944,-0.042870853234733816,0.09449336701839993,-0.09706159404283833,0.035276052018964874,0.022879107757735717
BAJFINANCE.NS,BAJFINANCE.NS,-0.16436685324291822,0.2512079775437423,-0.03639436577844324,0.04510433069324043,0.04848442583996082,-0.06066572106935029,0.12650454656594806,-0.012681459114446306,-0.04309195877903169,0.04002075526195794,-0.020910322204467993,0.0310555739267644,0.013174218331402823,0.06997939788769829,0.10184455654657519,-0.052554719524157016,-0.03592403204344888,-0.0006631262205704021,0.09728414658093631,-0.0254819208341198,-0.03266932131899734,-0.06695618587988704,-0.02867370042800819,-0.006940106618146907
BHARTIARTL.NS,BHARTIARTL.NS,0.022107693548494033,-0.08117372061301784,0.03465667454893371,-0.036835128007233965,0.050364866361348785,-0.13906470776024757,-0.14326710277754948,-0.012524043908409596,0.13516428697251778,0.07944573376277954,0.1789139180558884,-0.17318460944192435,0.04522700555128712,0.10638121569977962,0.08283840450942298,0.03447504565769211,-0.0647995441340165,-0.025544819926416204,0.003731976250228554,-0.04117102896375267,0.017560540305714856,0.05198393394066629,-0.029675983400811567,-0.005094927592394783
BPCL.NS,BPCL.NS,-0.1752927151959889,-0.017457983672350547,0.16853937293950705,0.24471547012851452,0.10617292267620958,0.06944870820264312,-0.10862180122489865,0.11405539778235314,-0.09285857681537356,0.08556904122060123,-0.02333689840196028,0.02270503918727667,0.09776133085630753,-0.006315305599513894,0.0568847077593959,0.04367234002589853,-0.048495737312035,0.006798585284908356,-0.05121304535059034,-0.0093617370519906,0.004442628396388198,0.00037764001628750373,-0.009537623776943647,-0.005439604179406869
BRITANNIA.NS,BRITANNIA.NS,0.11005054030043315,0.29494080142778006,0.21269739600084256,0.00044828967431673417,0.1078644490232687,0.06733275399024312,-0.010590413272135037,-0.026135551666380232,0.041521638112954624,-0.05410447247936642,-0.06326863542312122,0.036911768236976505,-0.049829621100825595,0.11548479955481053,-0.0972989293405832,0.06248607046004421,-0.03481215283826541,-0.07162199407996248,-0.05850801143943757,0.010146244074783818,-0.05064347001155463,0.004762788550532907,-0.0096709654760184,-0.06064275700333461
CIPLA.NS,CIPLA.NS,0.23814824258216336,-0.0919212721400246,0.08918064325455173,-0.240339023548702,-0.07094602171618478,0.06794918881447018,0.05266341263969302,0.054693657404607195,0.005799610352212099,0.02659639239019485,-0.1287767890349527,-0.09885056780656584,0.01042299683812111,0.0917573555585695,-0.0016044149496733991,0.023786807338064563,0.10150596329368267,-0.04368722870882363,0.042451375749616285,-0.012072689093699254,0.06902332312926095,0.06618488031997426,-0.006166902041688541,0.053303346146118744
COALINDIA.NS,COALINDIA.NS,-0.04007536102233741,-0.28303034056535553,0.2008978232168703,0.04326023570688424,-0.07319990778236755,-0.15671628944169338,0.007581184891116751,-0.04104314196104299,-0.0026431580353131305,-0.02151594382224313,-0.0997335261379411,0.036994538122235625,-0.0526610564473299,0.06580034667894401,0.026222551560476478,-0.06901737107291929,0.09254949450241048,0.034172898931713616,-0.0668399547208762,-0.0680892733046144,-0.042368226022773264,-0.08281327520786008,-0.050459193447231245,-0.0010411331213563105
